indeks,Komentar_bersih,Label_Validator,Detected_Lang
178,mention_suge789 emoji_shooting_star new sensation emoji_shooting_star,1.0,en
179,mention_pgc789 emoji_black_heart always maxwin emoji_black_heart,1.0,so
180,mention_meoh789 emoji_yellow_heart emoji_green_heart making happy brother emoji_yellow_heart emoji_green_heart,1.0,en
181,mention_pgc789 jp and maxwin happy asmara emoji_fire emoji_green_heart emoji_fire emoji_hundred_points emoji_hundred_points,1.0,en
182,emoji_yin_yang emoji_id_button jp good pgc789 happy always boskuh506,1.0,so
183,mention_suge789 emoji_1st_place_medal 01,1.0,unknown
184,l1 milan pasang over emoji_melting_face,1.0,tl
187,mention_suge789 emoji_shooting_star new sensation emoji_shooting_star,1.0,en
188,pasti wd,1.0,lv
189,mention_suge789 emoji_shooting_star be havefun brother emoji_shooting_star,1.0,en
195,mention_koboy789 happy birthday,1.0,so
197,mention_beb rika mention_suge789 emoji_mahjong_red_dragon stay with me emoji_mahjong_red_dragon,1.0,tl
201,mention_pgc789 together,1.0,en
209,mention_beb rika mention_suge789 emoji_mahjong_red_dragon stay with me emoji_mahjong_red_dragon,1.0,tl
210,mention_koboy789 happy birthday,1.0,so
215,mention_pgc789 together,1.0,en
220,mention_pgc789 emoji_sparkles win,1.0,pl
224,mention_pgc789 emoji_water_wave an option emoji_water_wave,1.0,en
225,mention_meoh789 emoji_green_heart emoji_green_heart emoji_1st_place_medal 01 emoji_green_heart emoji_green_heart,1.0,unknown
226,mention_meoh789 emoji_green_heart emoji_green_heart emoji_1st_place_medal 01 emoji_green_heart emoji_green_heart,1.0,unknown
227,aston villa under 3 dortmund under 3 psv win madrid under 3 5 stade brois 2,1.0,sv
230,amazing soo nicegoodd emoji_two_hearts mention_supercuan88,1.0,hr
231,mention_supercuan88 emoji_green_heart emoji_green_heart emoji_1st_place_medal 01 emoji_green_heart emoji_green_heart,1.0,unknown
232,mention_supercuan88 emoji_shooting_star forever withdraw boss emoji_shooting_star,1.0,en
235,mention_supercuan88 emoji_blue_heart bill teracurate emoji_blue_heart emoji_blue_heart,1.0,it
236,mention_supercuan 88 emoji_sparkles forever win,1.0,en
237,supercuan 88 emoji_orange_heart good performance emoji_orange_heart,1.0,es
241,mention_pgc789 emoji_black_heart emoji_airplane so happy king emoji_airplane emoji_airplane emoji_chequered_flag emoji_chequered_flag,1.0,tl
243,mention_pgc789 emoji_sparkles stand bye mee,1.0,af
249,mention_pgc789 emoji_sparkles win,1.0,pl
250,mention_pgc789 emoji_blue_heart emoji_black_heart always happy emoji_blue_heart emoji_black_heart 0820,1.0,en
251,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 010,1.0,en
252,paling mantap bosku mention_pgc789 emoji_fire emoji_fire emoji_hundred_points,1.0,tl
253,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 020,1.0,en
254,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 020,1.0,en
255,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 010,1.0,en
257,mention_pgc789 emoji_blue_heart emoji_black_heart always happy emoji_blue_heart emoji_black_heart 0820,1.0,en
258,mention_pgc789 emoji_sparkles win,1.0,pl
259,geol emoji_hundred_points paling mantap bosku mention_pgc789 emoji_purple_heart emoji_blue_heart emoji_green_heart emoji_hundred_points,1.0,tl
260,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 020,1.0,en
261,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 010,1.0,en
262,emoji_yin_yang emoji_id_button jp good pgc789 happy always boskuh506,1.0,so
263,mention_pgc789 emoji_sparkles win emoji_fire emoji_sparkles emoji_tornado,1.0,pl
264,mention_pgc789 emoji_recycling_symbol super maxwin emoji_recycling_symbol emoji_fire emoji_fire,1.0,en
265,mention_pgc789 emoji_double_exclamation_mark super maxwin emoji_double_exclamation_mark emoji_hundred_points,1.0,en
266,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 010,1.0,en
267,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 006,1.0,en
268,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 020,1.0,en
269,emoji_yin_yang emoji_id_button jp good meoh789 happy always boskuh506,1.0,so
270,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 010,1.0,en
271,mention_pasticuan72 emoji_green_heart super fantastic baby emoji_green_heart,1.0,en
272,meoh789 celebrate together this victory emoji_palm_up_hand emoji_palm_up_hand emoji_magic_wand,1.0,en
274,mention_pasticuan72 emoji_smiling_cat_with_heart-eyes emoji_first_quarter_moon_face bossku emoji_blue_heart emoji_blue_heart,1.0,no
275,emoji_revolving_hearts emoji_revolving_hearts jp maxwin emoji_revolving_hearts pasticuan72 emoji_revolving_hearts happy always bosku emoji_smiling_face_with_hearts,1.0,en
281,mention_anubis303 emoji_collision theracurate brothers emoji_collision,1.0,en
282,mention_macanhoki789 emoji_gem_stone stay with you emoji_gem_stone,1.0,en
283,mention_macanhoki789 emoji_sparkles never stop trying,1.0,no
284,mention_macanhoki789 emoji_sparkles emoji_blue_heart in love emoji_blue_heart emoji_blue_heart,1.0,sl
285,mention_macanhoki789 emoji_sparkles always stay with us emoji_sparkles,1.0,en
286,mention_macanhoki789 emoji_sparkles emoji_blue_heart asmara emoji_blue_heart emoji_blue_heart,1.0,so
287,mention_pgc789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 010,1.0,en
288,mention_pgc789 emoji_water_wave an option emoji_water_wave emoji_hundred_points,1.0,en
289,mention_pgc789 emoji_blue_heart emoji_black_heart always happy emoji_blue_heart emoji_black_heart 0820,1.0,en
290,paling mantap bosku mention_pgc789 emoji_fire emoji_fire emoji_hundred_points,1.0,tl
291,mention_pgc789 emoji_sos_button super maxwin emoji_sos_button emoji_blue_heart,1.0,en
292,mention_pgc789 emoji_water_wave an option emoji_water_wave emoji_hundred_points,1.0,en
293,geol emoji_hundred_points paling mantap bosku mention_pgc789 emoji_purple_heart emoji_blue_heart emoji_green_heart emoji_hundred_points,1.0,tl
300,mention_axl777 bangbang888 emoji_smiling_face_with_hearts,1.0,tl
302,itali ni emang anjjjjj,3.0,hr
303,madrid pantek,3.0,et
309,mention_zikra aja all in newcastle no city,1.0,it
310,atalanta over 2 25 ac milan ft win bayern munchen 1 75 asmonaco vs benfica keduanya mentecak gol jepeeee emoji_star-struck emoji_star-struck emoji_star-struck,1.0,en
312,tutor under sama over dong emoji_loudly_crying_face,1.0,no
313,madrid goblok,3.0,cy
314,mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 01329mention_meoh789 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart 01329,1.0,en
318,emoji_glowing_star mention_pgc789 emoji_sparkles super maxwin emoji_sparkles emoji_glowing_star,1.0,en
320,mention_pgc 789 emoji_hundred_points emoji_dizzy happy withdrawing money emoji_dizzy emoji_hundred_points,1.0,en
321,ac milan tolol,3.0,en
322,madrid anj msa seri si ini lwn osasuna,3.0,et
323,mention_macanhoki789 emoji_sparkles happy bosku emoji_sparkles,1.0,sk
324,cuann nii link0,1.0,ro
326,serius mau nanya klo di single bet itu gmna sih itung anya contoh masang 400 rb tp klo mnang mlh dpt 389 rb itu apa gk rugi ya mnding gk ush psang klo gtu,1.0,tl
327,tutor parlay dm,1.0,tl
335,galatasaray anjingg,3.0,tl
337,mention_bh 12 link0,1.0,unknown
346,link0 join kita diskusi bareng,1.0,fi
347,mention_lirik789 always with you 37c,1.0,cy
352,gue jg main disini emoji_grinning_face_with_sweat mention_merak606,1.0,fr
353,mention_lirik789 emoji_black_heart win with you emoji_black_heart 597,1.0,en
354,mention_gso789 emoji_dizzy never give up bro emoji_dizzy 5001,1.0,da
355,mention_lirik789 emoji_black_heart win win and win emoji_black_heart emoji_sparkles emoji_fireworks emoji_confetti_ball 001122,1.0,en
356,mention_lirik789 0 succesful emoji_speaking_head 0 102 hcx,1.0,ro
357,mention_lirik789 emoji_black_heart with me boskiu emoji_black_heart 760,1.0,en
358,mention_lirik789 emoji_black_heart with me emoji_black_heart 102,1.0,en
359,mention_lirik789 emoji_black_heart with you brother emoji_black_heart emoji_registered emoji_p_button 597,1.0,en
360,mention_meoh789 never stop being,1.0,af
361,mention_anjay22 emoji_black_heart emoji_black_heart winner emoji_black_heart emoji_black_heart 002,1.0,de
362,mention_suge789 emoji_dizzy never give up bro emoji_dizzy,1.0,da
363,mention_suge 789 emoji_black_heart the best ever emoji_black_heart,1.0,en
364,mention_suge789 emoji_green_heart congratulations bro emoji_green_heart,1.0,en
365,mention_macanhoki789 emoji_blue_heart one more time baby emoji_blue_heart,1.0,en
367,mention_macanhoki789 emoji_sparkles emoji_blue_heart perfect believe emoji_blue_heart,1.0,nl
368,mention_gso 789 emoji_white_heart emoji_black_heart top withdraw emoji_black_heart emoji_white_heart,1.0,en
369,mention_suge789 the best forever,1.0,en
371,mention_macanhoki789 emoji_blue_heart emoji_black_heart neverstop tier emoji_blue_heart emoji_black_heart,1.0,af
372,mention_gso789 best of best masbro,1.0,en
373,mention_suge789 emoji_purple_circle emoji_purple_circle congratulations bro emoji_purple_circle emoji_purple_circle,1.0,en
376,mention_meoh789 emoji_black_heart perfect maxwin emoji_black_heart,1.0,en
377,inpoo barusan wd 24jt emoji_rolling_on_the_floor_laughing,1.0,so
381,gw wd modal 50 naik 1 2jt,1.0,pl
383,mention_gso 789 emoji_fireworks emoji_mahjong_red_dragon mantap bossku emoji_mahjong_red_dragon emoji_fireworks emoji_dizzy emoji_hundred_points,1.0,fi
384,mention_anjay22 emoji_black_heart emoji_black_heart winner emoji_black_heart emoji_black_heart 006,1.0,de
385,mention_suge 789 emoji_black_heart always remember emoji_black_heart,1.0,en
386,mention_suge789 emoji_fire comeback again emoji_fire,1.0,en
387,mention_suge789 emoji_fire believe on time emoji_fire,1.0,nl
390,mention_anjay22 emoji_black_heart emoji_black_heart winner emoji_black_heart emoji_black_heart 001,1.0,de
391,mention_gso789 emoji_blue_heart super sensational emoji_blue_heart,1.0,fr
392,mention_macanhoki789 emoji_yellow_heart emoji_purple_heart believe in love emoji_yellow_heart emoji_purple_heart,1.0,nl
393,mention_macanhoki789 emoji_sparkles always the best emoji_sparkles,1.0,en
394,mention_suge789 emoji_full_moon of a million memories emoji_full_moon,1.0,en
395,mention_lirik789 emoji_black_heart are best player emoji_fire emoji_sparkles emoji_sparkler emoji_fireworks emoji_party_popper emoji_confetti_ball emoji_black_heart 980,1.0,en
396,mention_macanhoki789 emoji_black_heart emoji_blue_heart alwasy so perfect emoji_black_heart emoji_blue_heart,1.0,en
397,mention_koboy789 emoji_green_heart big win emoji_green_heart,1.0,tl
398,mention_suge789 emoji_fire always so perfect emoji_fire,1.0,en
399,mention_macanhoki789 emoji_sparkles happy always bossku emoji_sparkles,1.0,en
400,mention_suge 789 emoji_fire always remember emoji_fire,1.0,en
401,mention_suge789 emoji_black_heart win streak emoji_black_heart,1.0,en
402,mention_pgc789 emoji_blue_heart emoji_black_heart always happy emoji_blue_heart emoji_black_heart 0820,1.0,en
403,mention_lirik789 emoji_black_heart are best player emoji_fire emoji_sparkles emoji_sparkler emoji_fireworks emoji_party_popper emoji_confetti_ball emoji_black_heart 980,1.0,en
404,mention_meoh789 never stop trying,1.0,no
405,mention_macanhoki789 emoji_blue_heart love this games baby emoji_blue_heart,1.0,en
406,mention_macanhoki789 emoji_yellow_heart emoji_purple_heart believe in love emoji_yellow_heart emoji_purple_heart,1.0,nl
407,mention_suge789 emoji_fire top abang kuh emoji_fire,1.0,tl
408,paling mantap bosku mention_pgc789 emoji_fire emoji_fire emoji_hundred_points,1.0,tl
409,mention_macanhoki789 emoji_blue_heart one more time baby emoji_blue_heart,1.0,en
410,mention_suge789 emoji_hundred_points maxxwinn,1.0,so
411,geol emoji_hundred_points paling mantap bosku mention_pgc789 emoji_purple_heart emoji_blue_heart emoji_green_heart,1.0,tl
413,mention_suge789 emoji_blue_heart super sensational emoji_blue_heart,1.0,fr
414,mention_koboy789 emoji_green_heart sensational emoji_green_heart,1.0,fi
415,mention_koboy789 emoji_green_heart sensational emoji_green_heart,1.0,fi
416,mention_suge789 emoji_lion always happy in this game emoji_lion,1.0,en
417,mention_okejp58 emoji_fire so perfect emoji_fire,1.0,es
418,mention_suge 789 emoji_fire the best ever emoji_fire,1.0,en
419,believe nice amazinggoodd emoji_two_hearts mention_okejp58,1.0,nl
420,maplay 789 emoji_sparkles success always bosku emoji_sparkles,1.0,en
421,maplay 789 emoji_sparkles always big smile emoji_sparkles,1.0,tl
422,emoji_smiling_face_with_hearts emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_high_voltage okejp58 emoji_high_voltage good choice bosqu emoji_smiling_face_with_hearts,1.0,hr
423,emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_rose okejp58 emoji_rose happy always bosku emoji_smiling_face_with_hearts,1.0,af
424,mention_koboy789 emoji_green_heart big win emoji_green_heart,1.0,tl
425,mention_koboy789 emoji_green_heart super fantastic baby emoji_green_heart,1.0,en
426,mention_suge 789 emoji_fire get free spins emoji_fire,1.0,no
427,mention_koboy789 emoji_green_heart fantastic baby emoji_green_heart,1.0,en
428,believe nice amazinggoodd emoji_two_hearts mention_supercuan88,1.0,nl
429,mention_supercuan88 emoji_blue_heart emoji_sparkles never die emoji_blue_heart emoji_blue_heart,1.0,af
430,mention_maplay789 emoji_collision weldplay emoji_collision,1.0,nl
431,mention_suge789 emoji_fire top abang kuh emoji_fire,1.0,tl
432,mention_maplay789 emoji_green_heart never give up bro emoji_green_heart,1.0,da
433,koboy789 emoji_green_heart thermaknyus bosku emoji_green_heart,1.0,cs
434,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100015,1.0,en
435,emoji_smiling_face_with_hearts emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_high_voltage okejp58 emoji_high_voltage good choice bosqu emoji_smiling_face_with_hearts,1.0,hr
436,maplay 789 emoji_sparkles success always bosku emoji_sparkles,1.0,en
437,believe nice amazinggoodd emoji_two_hearts mention_supercuan88,1.0,nl
438,mention_okejp58 emoji_blue_heart emoji_black_heart neverstop tier emoji_blue_heart emoji_black_heart,1.0,af
439,emoji_revolving_hearts jp maxwin emoji_revolving_hearts okejp58 emoji_revolving_hearts happy always bosku emoji_smiling_face_with_hearts,1.0,sk
441,infoo link nya bang,1.0,tl
442,macanhoki789 so beautiful bosku,1.0,so
443,mention_okejp58 emoji_blue_heart emoji_black_heart stay with me emoji_blue_heart emoji_black_heart,1.0,en
444,mention_okejp58 emoji_fire believe on time emoji_fire,1.0,nl
446,emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_rose okejp58 emoji_rose happy always bosku emoji_smiling_face_with_hearts,1.0,af
449,emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_rose okejp58 emoji_rose happy always bosku emoji_smiling_face_with_hearts,1.0,af
450,mention_okejp58 emoji_fire believe on time emoji_fire,1.0,nl
451,emoji_smiling_face_with_hearts emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_high_voltage okejp58 emoji_high_voltage good choice bosqu emoji_smiling_face_with_hearts,1.0,hr
452,mention_okejp58 emoji_fire perfect believe emoji_fire,1.0,nl
453,emoji_mahjong_red_dragon lgototo55 emoji_mahjong_red_dragon congratulation bossku emoji_smiling_face_with_halo,1.0,it
454,emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_rose okejp58 emoji_rose happy always bosku emoji_smiling_face_with_hearts,1.0,af
456,mention_lirik789 emoji_copyright emoji_registered stay with me emoji_copyright emoji_registered emoji_trade_mark 200130,1.0,en
457,mention_lirik789 emoji_copyright emoji_registered stay with me emoji_copyright emoji_registered emoji_trade_mark 200124,1.0,en
458,mention_lirik789 emoji_copyright emoji_registered stay with me emoji_copyright emoji_registered emoji_trade_mark 200121,1.0,en
459,mention_lirik789 emoji_copyright emoji_registered stay with me emoji_copyright emoji_registered emoji_trade_mark 200125,1.0,en
460,mampir boskuh disini mention_supercuan58 emoji_money-mouth_face emoji_money-mouth_face emoji_money-mouth_face emoji_money-mouth_face,1.0,en
463,mention_okejp58 emoji_fire believe on time emoji_fire,1.0,nl
464,mention_okejp58 emoji_fire believe on time emoji_fire,1.0,nl
465,mention_pgc789 emoji_sparkles win emoji_fire emoji_sparkles emoji_tornado,1.0,pl
466,emoji_mahjong_red_dragon lgototo55 emoji_mahjong_red_dragon congratulation bossku emoji_sparkles emoji_smiling_face_with_heart-eyes,1.0,en
467,believe nice amazinggoodd emoji_two_hearts mention_okejp58,1.0,nl
468,mention_okejp58 stay with me emoji_sparkles,1.0,en
469,emoji_smiling_face_with_hearts emoji_four_leaf_clover emoji_sweat_droplets jp good emoji_high_voltage okejp58 emoji_high_voltage good choice bosqu emoji_smiling_face_with_hearts,1.0,hr
470,name saya lgototo55 emoji_fire emoji_hundred_points,1.0,tl
471,mention_supercuan88 emoji_sparkles emoji_blue_heart number one emoji_blue_heart emoji_blue_heart,1.0,en
472,mention_macanhoki789 emoji_black_heart emoji_blue_heart alwasy so perfect emoji_black_heart emoji_blue_heart,1.0,en
474,mention_okejp58 emoji_fire perfect believe emoji_fire,1.0,nl
475,emoji_revolving_hearts jp maxwin emoji_revolving_hearts okejp58 emoji_revolving_hearts happy always bosku emoji_smiling_face_with_hearts,1.0,sk
476,mention_anjay22 emoji_black_heart emoji_black_heart winner emoji_black_heart emoji_black_heart 030,1.0,de
477,mention_hotvip189 always maxwin emoji_green_heart emoji_green_heart 898,1.0,so
478,maplay 789 emoji_sparkles always happy bosku emoji_sparkles,1.0,so
479,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100013,1.0,en
480,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100012,1.0,en
481,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100016,1.0,en
482,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100017,1.0,en
483,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100015,1.0,en
484,mention_lirik789 0 succesful emoji_speaking_head 0 104 hpz,1.0,ro
485,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100018,1.0,en
486,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100019,1.0,en
487,mention_lirik789 0 succesful emoji_speaking_head 0 102 hcx,1.0,ro
488,mention_lirik789 0 succesful emoji_speaking_head 0 103 hpk,1.0,ro
489,mention_lirik789 0 succesful emoji_speaking_head 0 101 bmj,1.0,ro
490,mention_lirik789 emoji_hundred_points emoji_rocket amazing best best emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire,1.0,de
491,mention_lirik789 emoji_hundred_points emoji_rocket amazing best best emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire,1.0,de
492,mention_lirik789 emoji_hundred_points emoji_rocket amazing best best emoji_fire emoji_fire emoji_fire emoji_fire emoji_fire,1.0,de
493,mention_lirik789 emoji_black_heart emoji_blue_heart with me emoji_blue_heart emoji_black_heart 100011,1.0,en
