Label,Label_Validator,Komentar_bersih,num_words,Threshold
0,0,maaf baru komen baru abis pulang dari pengajian terus semalem abis tadarusan sampe pagi ngajarin anak kecil ngaji iqra dan sekarang baru lepas dari tasbih emoji_folded_hands,26,22.0
0,0,ih bener gw sama temen gw waktu itu pernah ngomong aku mah gamau banget kalo satu neraka sama pemerintah indo ga sudi wkwkwk emoji_loudly_crying_face,24,22.0
0,0,mention_user jadi alasan knp bpk maruf amin bilang kebanyakan masyarakat indonesia masuk surga salah satunya ya krn lewat jalur di dzolimi pemerintah ini emoji_loudly_crying_face,24,22.0
0,0,ih gue tadi teraweh pas baca al fatihah pas sirotolmustakim sirotol ladi siro nya ke inget anak kecil yang poppo siroyoo emoji_loudly_crying_face emoji_loudly_crying_face,23,22.0
0,0,nanti di neraka gue takut nya pemerintah ngasih duit lagi ke penjaga nya biar mereka ga kesakitan trus kena nya ke kita emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,24,22.0
0,0,kita seruangan sama yg di benci aja eneg kan ya males bawaannya apalagi nanti di nerala sama para pemerintah ya allah jauh jauh tolong ngga rela,26,22.0
0,0,ih gue tadi teraweh pas baca al fatihah pas sirotolmustakim sirotol ladi siro nya ke inget anak kecil yang poppo siroyoo emoji_loudly_crying_face emoji_loudly_crying_face,23,22.0
0,0,jangan di ikhlasin guys ayo bawa kasus ini dihadapan allah aku lihat banyak orang indo yang masih kekurangan lah sama dia dimakan sendiri,23,22.0
0,0,jadikan motivasi tobat spy tidak bertemu para koruptor emoji_pensive_face bayangkan sing korup bensin di hukum malaikat ngene kita mulai dari 0 yaa emoji_loudly_crying_face emoji_folded_hands_light_skin_tone,24,22.0
0,0,emang kayanya kita bisa hidup enak cuma besok kalau diakhirat asalkan masuk surga yaa kalau masuk neraka mah sama aja ketemu pemerintah lagii emoji_loudly_crying_face emoji_loudly_crying_face emoji_loudly_crying_face,26,22.0
0,0,gak mau bareng dajal juga emoji_folded_hands_medium_skin_tone masa nanti gini dajal disini juga sis gw lah mampus gw udah selamat di dunia malah ketemu lo di akhirat,26,22.0
0,0,kita semua pendosa ibadah yg kita kerjakan siang dan malam tidak bisa jadi jaminan kita bisa masuk syurga mari intropeksi dosa diri sendiri jangan menjugde dosa orang lain itu urusan dia dengan tuhan nya,34,22.0
0,0,di dunia udah di dzolimi masa di akhirat harus ketemu nya itu lagi taubat yukkk biar di jauhkan dan semoga negara kita dapet hidayah biar tobat semua,27,22.0
0,0,mention_user mention_user m nya mie ayam emoji_face_savoring_food mention_user mention_user aja emoji_collision mention_user mention_user bae emoji_collision mention_user emoji_moai @ mention_user suka emyu mention_user gpp madz?,24,22.0
0,0,iya betul bgt tp byk bgt cwo yg macarin mandang gtu nya pdhal yg penting di cari itu muka bukan dr itu nya,23,22.0
0,0,vanesha prescilla lahir 25 oktober 1999 adalah pemeran dan penyanyi indonesia iadikenal berkat perannya sebagai milea dalam trilogi flim dilan 1990 dilan 1991 dan milea suara dari 418 dilan,29,22.0
0,0,kantong mata itu ga mesti dia ga p lagi ada juga yg jarang tidor malam jadi mata nya lelah ya gtu lh jadi nya kantong mata dan mata panda,29,22.0
0,0,kantong mata d jadiin pw apa ngga nya lah gue yg dr smp udh ada kntung mata masih pw aja nih sampe skrg emoji_rolling_on_the_floor_laughing lawak belajar lagi ess ah haha emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,32,22.0
0,0,dengan polosnya aku klik gardan fuso fighter pas suami buka di pencarian nanya km ngapain cari gardan fuso yang? ada2 aja emoji_weary_face emoji_folded_hands_light_skin_tone,23,22.0
0,0,bikin 11 kak siapa tau dari kesebelas itu ada spek yang sekelas mbappe pogba van dijk vini biar timnas indonesia menjadi sangat di takuti emoji_rolling_on_the_floor_laughing,25,22.0
0,0,lahh kocak lu nyebut nya negara bukan benua liat negara nya sebut pemain negara itu yang berkarier di eropa ini salah ngatain orng kocak emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,27,22.0
0,0,lagi deket sama org sana masih maju mundur gue nya krn punya trauma masa kecil dibully habis2 an item katanya menjijikan emoji_loudly_crying_face emoji_loudly_crying_face gk mau anak gue kelak ngalamin hal menyakitkan kyk gue dlu emoji_loudly_crying_face,35,22.0
0,0,sekolahin anak nya di international school dong cantik biar gaada mulut2 rasis usahakan bapak nya hitam berduit biar anak kamu pergaulan nya di lingkup yg elit emoji_fire emoji_fire,28,22.0
0,0,kata pcar ku mskipun hitam klo bnyak duit mau di rubah warna apapun bisaaa emoji_beaming_face_with_smiling_eyes inti ny duit bisa merubah sgla ny emoji_beaming_face_with_smiling_eyes emoji_folded_hands emoji_folded_hands emoji_folded_hands samawa kka emoji_smiling_face_with_hearts,29,22.0
0,0,cewe prancis ga ada yg takut nikah sama orang hitam liat tuh emaknya mbappe kulit putih bapak nya afrika mbappe kulitnya ga hitam hitam bgt lebih ke coklat kayak asia,30,22.0
0,0,walaupun gardan fuso fighter euro 4 dia punya pajero sport dakar 44 inova reborn tanah sawit nya 10 hektar alphard terbaru 2025 bro jadi jangan di ejek,27,22.0
0,0,cepat cetak kak buat timnas kitaa emoji_loudly_crying_face emoji_folded_hands emoji_folded_hands emoji_folded_hands emoji_folded_hands emoji_merperson emoji_female_sign emoji_merperson emoji_female_sign emoji_merperson emoji_female_sign emoji_merperson emoji_female_sign emoji_merperson emoji_female_sign emoji_merperson emoji_female_sign emoji_merperson emoji_female_sign,25,22.0
0,0,waktu kerja di jpng sya punya temn orang south africa badannya tinggi besar wajahnya simetris dn sangat menjaga kebersihan di antara kita para tenaga kerja dia yang paling putih dan bersih gigi nya jadi wajar kalo cwek suka,38,22.0
0,0,ya memang orang suka ada berpikiran kalo orang kulit hitam itu jorok padahal tergantung orangnya ada beberapa teman ku itu semuanya pada bersih dan wangi,25,22.0
0,0,normalisasiin buat para cewe muslimah memulai menikah dengan hijab walaupun keseharian blm istiqomah pakai hijab krn pernikahan itu kan ibadah yah sebaiknya kita mulai dengan yg terbaik dlm segala hal emoji_folded_hands_light_skin_tone btw kamu cancii banget kak samara pernikahannya ya kak emoji_rose emoji_rose emoji_rose,43,22.0
0,0,yg lain fokus kw suaminya aku fokus ke km ka itu kulitmu bagus hwaaa pengenn bolak balik ke bali pgn kulitvkek gini ga jadi2 btw samawa ka,27,22.0
0,0,suka banget komen emoji_folded_hands aku pacaran saman orng afrika di sinisin abis2 an emoji_loudly_crying_face sampai orang2 bilang lu di pelet ya? padahal gue yg duluan ngerjar2 dr awal ampe dia mau emoji_loudly_crying_face emoji_loudly_crying_face,33,22.0
0,0,sama kak kaya bundaku menjanda 10 taun eh di dobrak pria nigeria eh punya anak lagi aku 24 taun adek ku 2 taun bjier emoji_clown_face,25,22.0
0,0,nanti anaknya dilatih sepak bola mbak emoji_beaming_face_with_smiling_eyes soalnya skrg kebanyakan pemain top sepakbola mixed black kayak lamine bellingham mbappe dan indonesia belum punya itu emoji_folded_hands,25,22.0
0,0,baru hentakan doang kk nya udaw nangis belum segi kecepatan hentakan pastinya jengkik muter muter kaya ular keket sepak terjangnya black mamba doble gardan emoji_face_with_tears_of_joy,25,22.0
0,0,namanya juga umur ga ada yg tau abis magrib temen gua masih makan bareng sama gua ga nyangka bnget abis isyanya gua denger dia udah makan lagi emoji_loudly_crying_face,28,22.0
0,0,jadi gini kak kalo anaknya laki laki usahakan jadi pemain bola ntar kalo udah umur 16 ato 17 an langsung aja buang ke akademi ajax amsterdam emoji_smiling_face_with_halo,27,22.0
0,0,besar tanggung jwbnya kuat dlm hal bekerja dan tahan lama yg pasti karna rumh tangga yg terpenting adalah 3hal ini ngak sih emoji_folded_hands emoji_smiling_face,24,22.0
0,0,suka banget komen emoji_folded_hands aku pacaran saman orng afrika di sinisin abis2 an emoji_loudly_crying_face sampai orang2 bilang lu di pelet ya? padahal gue yg duluan ngerjar2 dr awal ampe dia mau emoji_loudly_crying_face emoji_loudly_crying_face,33,22.0
0,0,oke nice kak ada lagi bibit baru nanti ada anak beri pelatihan sepak bola di afrika ya kak suruh maen di st anaknya biar timnas kita punya osimhen emoji_fire emoji_fire emoji_fire,31,22.0
0,0,bcot emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_pleading_face emoji_star-struck emoji_star-struck emoji_star-struck emoji_star-struck emoji_star-struck,37,22.0
0,0,liat ft dokter richard bikin rendah sama aja rusuh emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy emoji_cat_with_tears_of_joy,37,22.0
0,0,gua akui sih sbgi warga plg malu tp gua gk malu sih cik soalny gua bukan bagin dari org itu lokasi rumah gua aja jauh dari situ,27,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp 100 jt,31,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun,25,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp1 000 000 ru,32,22.0
0,0,stop mendukung perpecahan kak ini masalah mereka dan wili kita cukup tau aja kalau emang mau negur atau kritik jangan menghina fisik soalnya ga keren,25,22.0
0,0,iya sih emang ga masuk akal cuma ya gitu intinya susah emoji_weary_face tapi setidaknya jangan menghina fisik ya kak berkomentar lebih dewasa lagi,23,22.0
0,0,ye kele harus bilang wow gitu doa menghilang kan rasa marah om om om nama dewaya om nama dewaya oh ya widhi semua orang itu mempunyai sifat tersendiri nya om santiomm,31,22.0
0,0,@ daribpada jawa mobil terguling muatan duren di ambil minyak di ambil tengki susu di ambil susu kemasan di ambil bawang di ambip banyak kan siapa hayo masih banyai lagi,30,22.0
0,0,mention_user emoji_headphone emoji_fairy tapi ye kato rondoot yg salah willie salim karno wilie salim nyuruh wong palembang ambek dalam waktu 27 menit terus jugo wilie salim ru ke mobil bukan wc kalau dk cayo jing,35,22.0
0,0,tuhkan yg disalahkan willie salim padahal jelas rendang belum mateng ditinggal bentar udh dibawa duluan tanpa sepengetahuan willie apa gak maling itu namanya,23,22.0
0,0,@ daribpada jawa mobil terguling muatan duren di ambil minyak di ambil tengki susu di ambil susu kemasan di ambil bawang di ambip banyak kan siapa hayo masih banyai lagi,30,22.0
0,0,bg udh bg jangan di ejek lagi bg dia yatim piatu bang kasihan dia kyk gt gara nggk sekolah karena kurang mampu kedua org tuanya udh nggk ada bg tolong dimaafkan ya bgg,33,22.0
0,0,ya makanya bedain pulau ama kota emoji_cat_with_tears_of_joy kalo se pulau mah santai aja dlu kalo kota lu di hujat gitu kemungkinan lu juga gak enak emoji_cat_with_tears_of_joy,26,22.0
0,0,gue bukan jawa emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy bang rendang nya udah abis belum emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy jangan di abisin buat lebaran emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,23,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp 100 jt,31,22.0
0,0,kami dikatain diem aja bukan berarti gak berani gak kompak tp yg ngatain cma omng ksong jadi ngapain di ladenin tp klo d tmpt mu kan bkn omng ksong belaka ada vt yg disebar orangmu sendiri emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,38,22.0
0,0,tau gw tau tpi kasih tau baik baik dulu klo gk bisa gk usah bawa bawa palembang langsung klo dia bukan orng palembang gimana hayo emoji_moai emoji_moai emoji_moai emoji_moai emoji_moai emoji_moai,31,22.0
0,0,selamat kusus di bulan ramadan ini dosa penghinaanmu gak ditulis 1 tapi dikalikan 1000 lalu dikalikan 150 jutaan penduduk jawa hasilnya dosamu di tulis 150 milliar,26,22.0
0,0,mention_user fakta kota palembang pusat kerajaan sriwijaya kota tertua di indonesia tuan rumah sea games dan asian games pempek makanan terenak di dunia,23,22.0
0,0,mention_user fakta kota palembang pusat kerajaan sriwijaya kota tertua di indonesia tuan rumah sea games dan asian games pempek makanan terenak di dunia,23,22.0
0,0,emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing palembang keras emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing,26,22.0
0,0,mention_user emoji_a_button_(blood_type) hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp 100 jt rp,34,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp 100 jt,31,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp1 000 000 rupiah,32,22.0
0,0,hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp1 000 000 ru,32,22.0
0,0,mention_user semangat palembang pemilik batu bara terbesar di indonesia penyumbang listrik terbesar penyumbang cpo terbesar blm lgi karet dn kopi kita jatuh karna rendang kita bangkitkn dari rendang juga,29,22.0
0,0,emoji_rolling_on_the_floor_laughing emoji_rolling_on_the_floor_laughing kalo aku jadi kamu aku malu dan aku hapus koment ini kecuali kalo kamu anomali jadi gak punya malu minimal cek dulu aku orang jatim,27,22.0
0,0,lebih penting adap dan tau terimakasihh kak emoji_folded_hands_light_skin_tone kota yang cumn d kasih sampe ga tau terimakasih malah lapor korban gimana dong emoji_folded_hands_light_skin_tone emoji_smiling_face,24,22.0
0,0,dtang k lokasi jam 17 30 dikawal 8 polisi jam 19 30 rendang belum matang willi dan tim matikan kamera dan bilang boleh diambil rendang dan es duren dan membiarkan warga berebut,32,22.0
0,0,pasal 156 kuhp pasal ini mengatur tentang penghinaan terhadap suatu atau beberapa golongan rakyat indonesia yang dapat dikenakan sanksi penjara paling lama empat tahun atau pidana denda,27,22.0
0,0,sbnrnya bgni ya kalau sja warga palembang yg kmrn ngmbil mengakui kesalahn dari pihak wili salim atau pihak terkait saling memafkan itu lbh baik,24,22.0
0,0,emoji_rolling_on_the_floor_laughing gua pernah tnggal di palembang brow dari thn 2008 gua tau orang palembang dan aku tdk peranh bilang smua orang palang kek gitu ya tapi sebagian,27,22.0
0,0,pasal 156 kuhp pasal ini mengatur tentang penghinaan terhadap suatu atau beberapa golongan rakyat indonesia yang dapat dikenakan sanksi penjara paling lama empat tahun atau pidana denda,27,22.0
0,0,bro gw punya gambar kualitas hd bagus untuk wallpaper jika kalian suka bisa cek akun gw kalau suka silahkan follow agar mendapatkan gambar gambar yang keren dan menarik menurut kalian emoji_moai emoji_ok_hand,32,22.0
0,0,gua aja asli orang palembang gak ada tuh marah atau komennin orang kalo gak salah ngapain malu cuman nama palembang doang ngapain harus di pikirinn,25,22.0
0,0,coba kamu cari aja di tiktok apa yg terjadi sebenarnya terus baca disitu makanya kamu itu jangn slh paham dulu dong kota kamu aja dihina kyk gitu mrh giliran ngantain kota palembang maju,33,22.0
0,0,aku kasi tw sedikit ini ya jangan pernah di main main kan nama kota palembang kota palembang adalah kerajaan bumi sriwijaya nanti yg buat bikin konten begini entar kena batu nya baru menyesal,33,22.0
0,0,bang willie ga salah tapi yg salah yg ngehujat satu sama lain jadinya bg willie yg ga kena plis stop hujat satu sama lain kasian bg willie,27,22.0
0,0,mention_user aderi @ ll emoji_oncoming_fist emoji_soccer_ball mention_user x mention_user x auluss mention_n 1 z4m emoji_rocket ihhii takutnyaaaa emoji_face_screaming_in_fear emoji_face_screaming_in_fear emoji_pleading_face emoji_anxious_face_with_sweat emoji_fearful_face emoji_fearful_face emoji_grimacing_face,24,22.0
0,0,perbuatan penghinaan terhadap suku tertentu yang diwujudkan dengan melontarkan kata kata yang menunjukkan kebencian merupakan salah satu bentuk tindakan diskriminasi ras dan etnis yang diatur dalam uu,27,22.0
0,0,ya allah ya tuhanku kenapa sesama anak bangsa indonesia suka saling hujat antar mereka emoji_smirking_face emoji_smirking_face emoji_smirking_face habis energi bangsa ini untuk hal hal yang tak produktif,27,22.0
0,0,apasihh palembang jawa palembang jawa coba sadar nah kamu semua itu indonesia sama indo aja ngehujat trllu anak kecil e coba sadar kamu kalo ng hujat tau diri ga ush sama menyalah kan emoji_folded_hands_light_skin_tone,34,22.0
0,0,tinggl cari yg ngmbil rendang nya kn di vt vt dah nampak mukanya trs suruh jelaskan gmn kejadianya beres ini mlh kmna mna?,23,22.0
0,0,sudah jadi sejarah sepanjang masa walaupun warga masak besar pun di tempat yg sama gak bakal kembali sprti semula yg harus di perhatikan warga nya bukan rendang nya,28,22.0
0,0,ga mungkin mreka ambil nyolong j ga la pasti mreka jg brani ambil psti sdh ad yg nyuruh bole psti dri panitia ny lagian ad j masak d taman mana ckup dn masak daging lama dn rame d taman dkt pasar pula polisi pun ga sanggup jaga tertib cba masak d perumahan warga palembang lebi teratur polisi pun ga pake di taman gitu deh pa gi butuh persiapan matang,69,22.0
0,0,udahlah guys stop komporin ini tuh masalah mereka ma wili kita cukup tau aja tapi emang buat ke 2 belah pihak yang bersangkutan jangn berlebihan dan malah saling ga ngaku kesalahannya,31,22.0
0,0,sama aja kita kaya mendukung perpecahan di indonesia berpikir dewasa aja lah gaush bikin konten kaya gini walau ga sebut siapa yang di maksud tapi udh keliatan,27,22.0
0,0,walau emang keliatan orang orang sana ga mau ngaku atau buta sama kesalahan sesama warga mereka ya tegurnya yang bener aja karena ya ga semua orang disana ga begitu,29,22.0
0,0,dan buat warga sana yang bener bener dewasa otaknya tolong speak up buat warga warga kalian harus menerima kesalahan dan juga permintaan maaf si wili biar ga di hina trs intinya saling mengingatkan,33,22.0
0,0,syarat sedekah adalah 1 niat ikhlas 2 harta halal 3 harta dimiliki 4 tidak dipaksa 5 tidak mengharapkan imbalan 6 disedekahkan kepada yang berhak 7 jangan di palembang,28,22.0
0,0,mention_user yalani ga bsa di salin deck emoji_teddy_bear ? emoji_paperclip ? emoji_credit_card ? emoji_money_bag ? emoji_dvd emoji_bell ? emoji_crystal_ball ? emoji_snowflake ? emoji_rainbow ? emoji_oncoming_police_car ? emoji_globe_showing_europe-africa ? emoji_squid ? emoji_banana ? emoji_maple_leaf ? emoji_fox ? emoji_collision ? emoji_hundred_points emoji_broom ? emoji_paperclip ? emoji_credit_card ? emoji_money_bag ? emoji_dvd emoji_bell ? emoji_crystal_ball ? emoji_snowflake ? emoji_rainbow ? emoji_oncoming_police_car ? emoji_globe_showing_europe-africa emoji_teddy_bear ?,61,22.0
0,0,memang wily salim tidak salah tapi dengan followers nya kota palembang menjadi bahan ejekan dan karna itu saya minta tolong untuk berhenti mengejek kota palembang,25,22.0
0,0,ga bsa di salin deck emoji_teddy_bear ? emoji_paperclip ? emoji_credit_card ? emoji_money_bag ? emoji_dvd emoji_bell ? emoji_crystal_ball ? emoji_snowflake ? emoji_rainbow ? emoji_oncoming_police_car ? emoji_globe_showing_europe-africa ? emoji_squid ? emoji_banana ? emoji_maple_leaf ? emoji_fox ? emoji_collision ? emoji_hundred_points emoji_broom ? emoji_paperclip ? emoji_credit_card ? emoji_money_bag ? emoji_dvd emoji_bell ? emoji_crystal_ball ? emoji_snowflake ? emoji_rainbow ? emoji_oncoming_police_car ? emoji_globe_showing_europe-africa emoji_teddy_bear ?,59,22.0
0,0,munkin gak semuanya yg seperti ini pasti bnyk jg yg berkelas tp yg tau sejarah bajing loncat?? munkin ini efek dr hasil dr itu,24,22.0
0,0,mention_user emoji_a_button_(blood_type) hina suku pasal 156 kuhp menghina suku agama atau ras di muka umum dengan maksud membangkitkan permusuhan kebencian sanksi 1 pidana penjara maksimal 4 tahun 2 denda maksimal rp 100 jt,33,22.0
0,0,temen temen udah yu ahh bercandanya udahan bentar lagi lebaran kita hormati diri kita sendiri untuk menyambul idul fitri kita silaturahmi kembali salam dari plat b,26,22.0
0,0,jangan karena sampah kita terpecah jangan karena rendang kita perang bulatkan tekad dan ikatlah yg kuat kita masih saudara dan satu suara kuatkan mental agar tak terpental,27,22.0
