Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
H-16,Tabung Gas Elpiji Kadaluwarsa Pasca Tabung Meledak di PHD Bekasi,tabung gas elpiji kadaluwarsa pasca tabung meledak di phd bekasi,tabung gas elpiji kadaluwarsa pasca tabung meledak di phd bekasi,2,2
H-17,"Jokowi: Sejarah Aslinya, PKI itu Tidak Bersalah Apalagi Mengancam, Yang Berbahaya Itu Islam Radikal",jokowi sejarah aslinya pki itu tidak bersalah apalagi mengancam yang berbahaya itu islam radikal,Jokowi sejarah aslinya pki itu tidak bersalah apalagi mengancam yang berbahaya itu islam radikal,2,2
H-18,Gratis Isi Full Tangki Anda' pada 29-30 Februari 2019,gratis isi full tangki anda pada 2930 februari 2019,gratis isi penuh tangki anda pada 2930 februari 2019,2,2
H-19,Makan durian dicampur dengan Coca-Cola menyebabkan kematian,makan durian dicampur dengan cocacola menyebabkan kematian,makan durian dicampur dengan cocacola menyebabkan kematian,2,2
H-20,"JANGAN AMBIL KEY CHAIN DALAMNYA ADA GPS NANTI DIIKUTI TERUS, SAMPAI RUMAH DIRAMPOK",jangan ambil key chain dalamnya ada gps nanti diikuti terus sampai rumah dirampok,jangan ambil kunci rantai dalamnya ada gps nanti diikuti terus sampai rumah dirampok,2,2
H-21,Isu jarum mengandung HIV/AIDS di Bioskop,isu jarum mengandung hivaids di bioskop,isu jarum mengandung hivaids di bioskop,2,2
H-22,Certification Of Vaccination Identification 2019” dan Penanaman Barcode Implan di Wuhan pada Tahun 2019,certification of vaccination identification 2019 dan penanaman barcode implan di wuhan pada tahun 2019,certification of vaccination identification 2019 dan penanaman barcode implan di wuhan pada tahun 2019,2,2
H-23,FPI sudah masuk Wamena untuk mengibarkan bendera Merah Putih dan Posko Jihad Wamena.,fpi sudah masuk wamena untuk mengibarkan bendera merah putih dan posko jihad wamena,fpi sudah masuk wamena untuk mengibarkan bendera merah putih dan posko jihad wamena,2,2
H-24,Malam ini jam 24:00 BBM naik Tanggal 30 Agustus 2019,malam ini jam 2400 bbm naik tanggal 30 agustus 2019,malam ini jam 2400 bbm naik tanggal 30 agustus 2019,2,2
H-25,Info Rekrutmen CPNS dibuka Tanggal 23 Oktober 2019,info rekrutmen cpns dibuka tanggal 23 oktober 2019,info rekrutmen cpns dibuka tanggal 23 oktober 2019,2,2
H-26,"Pemadaman listrik wilayah bekasi hari Sabtu dan Minggu, Tgl 24 & 25 Agustus 2019",pemadaman listrik wilayah bekasi hari sabtu dan minggu tgl 24 25 agustus 2019,pemadaman listrik wilayah bekasi hari sabtu dan minggu tanggal dua puluh empat 25 agustus 2019,2,2
H-27,Lowongan Pekerjaan PT Timah Persero Tbk 2019,lowongan pekerjaan pt timah persero tbk 2019,lowongan pekerjaan pt timah persero tbk 2019,2,2
H-28,OKTOBER 2019 PRABOWO-SANDI DILANTIK,oktober 2019 prabowosandi dilantik,oktober 2019 prabowosandi dilantik,2,2
H-29,JOKOWI DIPASTIKAN TIDAK MENANG PILPRES 2019,jokowi dipastikan tidak menang pilpres 2019,Jokowi dipastikan tidak menang pilpres 2019,2,2
H-30,Jokowi Diruqiyah dan Tambah Ilmu Ghaib untuk Menangi Pilpres 2019,jokowi diruqiyah dan tambah ilmu ghaib untuk menangi pilpres 2019,Jokowi diruqiyah dan tambah ilmu ghaib untuk menangi pilpres 2019,2,2
H-31,Media Sosial dan Aplikasi Pesan Dipantau Dimasa Tenang Pemilu 2019,media sosial dan aplikasi pesan dipantau dimasa tenang pemilu 2019,media sosial dan aplikasi pesan dipantau di masa tenang pemilu 2019,2,2
H-32,Informasi 12 Tempat Rawan Begal Di Surabaya Oleh Kapolrestabes Surabaya,informasi 12 tempat rawan begal di surabaya oleh kapolrestabes surabaya,informasi 12 tempat rawan begal di surabaya oleh kapolrestabes surabaya,2,2
H-33,MENHAN PRABOWO meminta Pada MENHAN CHINA untuk membebaskan para sandara yang di tahan di Cham Militer China,menhan prabowo meminta pada menhan china untuk membebaskan para sandara yang di tahan di cham militer china,menhan Prabowo meminta pada menhan china untuk membebaskan para sandara yang di tahan di cham militer china,2,2
H-34,Wanita hamil tidak boleh keluar selama gerhana matahari berlangsung,wanita hamil tidak boleh keluar selama gerhana matahari berlangsung,wanita hamil tidak boleh keluar selama gerhana matahari berlangsung,2,2
H-35,"Delegasi Uighur Dikabarkan Ditolak Jokowi, Salim Said: Indonesia Merdeka Apa Dijajah China?",delegasi uighur dikabarkan ditolak jokowi salim said indonesia merdeka apa dijajah china,delegasi uighur dikabarkan ditolak Jokowi salim said indonesia merdeka apa dijajah china,2,2
H-36,Legenda Hello Kitty berasal dari gadis penderita kanker mulut dan Hello Kiity artinya dalam bahasa China adalah Halo Iblis,legenda hello kitty berasal dari gadis penderita kanker mulut dan hello kiity artinya dalam bahasa china adalah halo iblis,legenda halo kitty berasal dari gadis penderita kanker mulut dan halo kiity artinya dalam bahasa china adalah halo iblis,2,2
H-37,"MENHAM PRABOWO TERPERANGKAP, MILITER INDONESIA DI AKUISISI CHINA?",menham prabowo terperangkap militer indonesia di akuisisi china,menham Prabowo terperangkap militer indonesia di akuisisi china,2,2
H-38,Bawang Merah Mampu Tangkal Racun Ular Kobra,bawang merah mampu tangkal racun ular kobra,bawang merah mampu tangkal racun ular kobra,2,2
H-39,Mesut Ozil Sindir Indonesia dan Wapresnya Perihal Uighur,mesut ozil sindir indonesia dan wapresnya perihal uighur,mesut ozil sindir indonesia dan wakil presiden perihal uighur,2,2
H-40,Parutan Kelapa Bisa Sebabkan Kremian,parutan kelapa bisa sebabkan kremian,parutan kelapa bisa sebabkan kremian,2,2
H-41,Cacing Berkembang di Mata Karena Mengucek Setelah Memegang Kucing/Anjing,cacing berkembang di mata karena mengucek setelah memegang kucinganjing,cacing berkembang di mata karena mengucek setelah memegang kucinganjing,2,2
H-42,Air Nanas Panas Sembuhkan Kanker,air nanas panas sembuhkan kanker,air nanas panas sembuhkan kanker,2,2
H-43,"SEBELUM DI SETRUM MATI, PERMINTAAN PRIA INI MEMBUAT SURAT WASIAT PADA IBUNYA",sebelum di setrum mati permintaan pria ini membuat surat wasiat pada ibunya,sebelum di setrum mati permintaan pria ini membuat surat wasiat pada ibunya,2,2
H-44,"Missed Call Dari Nomor Luar Negeri yang Dapat Menyalin Daftar Kontak, Mengakses SIM Card, dan Menjebol Data Bank",missed call dari nomor luar negeri yang dapat menyalin daftar kontak mengakses sim card dan menjebol data bank,missed call dari nomor luar negeri yang dapat menyalin daftar kontak mengakses sim kartu dan menjebol data bank,2,2
H-45,Megawati: Jauhi Anak Dari Agama Jika Besarnya Nanti Hanya Untuk Membunuh Orang,megawati jauhi anak dari agama jika besarnya nanti hanya untuk membunuh orang,megawati jauhi anak dari agama jika besarnya nanti hanya untuk membunuh orang,2,2
H-46,"Gambar perempuan berjilbab syari. Tulisannya, wife and doughter of Panglima Polim.",gambar perempuan berjilbab syari tulisannya wife and doughter of panglima polim,gambar perempuan berjilbab syari tulisannya istri dan doughter of panglima polim,2,2
H-47,kemunculan Oarfish pertanda gempa bumi dahsyat bahkan tsunami,kemunculan oarfish pertanda gempa bumi dahsyat bahkan tsunami,kemunculan oarfish pertanda gempa bumi dahsyat bahkan tsunami,2,2
H-48,Aplikasi DANA Adalah Buatan China Dan Memiliki Nama Asli Alipay,aplikasi dana adalah buatan china dan memiliki nama asli alipay,aplikasi dana adalah buatan china dan memiliki nama asli alipay,2,2
H-49,Pemakaian Perhiasan Emas Pada Bayi Berbahaya Karena Partikel Emas Dapat Menembus Kulit,pemakaian perhiasan emas pada bayi berbahaya karena partikel emas dapat menembus kulit,pemakaian perhiasan emas pada bayi berbahaya karena partikel emas dapat menembus kulit,2,2
H-50,"TAHUKAH...ANCAMAN CHINA..???? KATAKAN KEPADA CHINA: ""KETIKA MENGGANGGU KEDAULATAN NEGARA INDONESIA, RAKYAT TIDAK AKAN TINGGAL DIAM""",tahukahancaman china katakan kepada china ketika mengganggu kedaulatan negara indonesia rakyat tidak akan tinggal diam,tahukahancaman china katakan kepada china ketika mengganggu kedaulatan negara indonesia rakyat tidak akan tinggal diam,2,2
H-51,angan pijak kecoa sampai mati karena isi perut kecoa sangat bahaya,angan pijak kecoa sampai mati karena isi perut kecoa sangat bahaya,angan pijak kecoa sampai mati karena isi perut kecoa sangat bahaya,2,2
H-52,Prof. Taruna Ikrar : “Ahok termasuk pemimpin di Indonesia yang perlu diobservasi otaknya,prof taruna ikrar ahok termasuk pemimpin di indonesia yang perlu diobservasi otaknya,prof taruna ikrar ahok termasuk pemimpin di indonesia yang perlu diobservasi otaknya,2,2
H-53,KERAJAAN ARAB SAUDI TETAPKAN: HRS KETURUNAN RASULULLAH SAW KE-38,kerajaan arab saudi tetapkan hrs keturunan rasulullah saw ke38,kerajaan arab saudi tetapkan harus keturunan rasulullah saw ke38,2,2
H-54,"UYM: Sholat Dimonas Itu Dosa, Karena Dianggap Riya, Semoga Para Alumni 212 Segera Bertobat",uym sholat dimonas itu dosa karena dianggap riya semoga para alumni 212 segera bertobat,uym sholat dimonas itu dosa karena dianggap riya semoga para alumni 212 segera bertobat,2,2
H-55,"Jokowi-Amin Sudah Sebulan Dilantik, KPU Bongkar Ribuan Kotak Suara Pemilu 2019",jokowiamin sudah sebulan dilantik kpu bongkar ribuan kotak suara pemilu 2019,jokowiamin sudah sebulan dilantik kpu bongkar ribuan kotak suara pemilu 2019,2,2
H-56,spanduk TNI menyambut hangat untuk para peserta aksi milad 212 besok hari senin,spanduk tni menyambut hangat untuk para peserta aksi milad 212 besok hari senin,spanduk tni menyambut hangat untuk para peserta aksi milad 212 besok hari senin,2,2
H-57,Buah Disuntik Darah HIV/AIDS Tujuan Menghabiskan orang asli Papua,buah disuntik darah hivaids tujuan menghabiskan orang asli papua,buah disuntik darah hivaids tujuan menghabiskan orang asli papua,2,2
H-58,Mengapa Canada menolak menghilangkan babi dari menu makanan sekolah?,mengapa canada menolak menghilangkan babi dari menu makanan sekolah,mengapa canada menolak menghilangkan babi dari menu makanan sekolah,2,2
H-59,Restoran Sederhana Ulang Tahun Ke-15 Membagikan Makanan Gratis,restoran sederhana ulang tahun ke15 membagikan makanan gratis,restoran sederhana ulang tahun ke15 membagikan makanan gratis,2,2
H-60,usus ibunya dimakan oleh Bayi ini,usus ibunya dimakan oleh bayi ini,usus ibunya dimakan oleh bayi ini,2,2
H-61,Pesan Berantai Catut Disdukcapil Bandung,pesan berantai catut disdukcapil bandung,pesan berantai catut disdukcapil bandung,2,2
H-62,"Ide ‘gila’ Nadiem Makarim: ingin memangkas jumlah tahun pendidikan SD, SMP, SMA",ide gila nadiem makarim ingin memangkas jumlah tahun pendidikan sd smp sma,ide gila nadiem makarim ingin memangkas jumlah tahun pendidikan sd smp sma,2,2
H-63,"Demi Palestina, Cristiano Ronaldo Sumbang Rp 21,7 Miliar",demi palestina cristiano ronaldo sumbang rp 217 miliar,demi palestina Cristiano Ronaldo sumbang rp 217 miliar,2,2
H-64,"Jokowi Nilai Positif Jabatan Presiden Diusulkan Tiga Periode, “Sangat Bagus”",jokowi nilai positif jabatan presiden diusulkan tiga periode sangat bagus,Jokowi nilai positif jabatan presiden diusulkan tiga periode sangat bagus,2,2
H-65,Anies Diberi Gelar Kehormatan oleh Perkumpulan Tiong Hoa dg Nama Liem Ay Bon,anies diberi gelar kehormatan oleh perkumpulan tiong hoa dg nama liem ay bon,anies diberi gelar kehormatan oleh perkumpulan tiong hoa dg nama liem ay bon,2,2
H-66,"Percuma Dilaporkan, PDIP Sebut Sukmawati Tidak Bisa Ditahan Karena Dia Orang ""Kuat""",percuma dilaporkan pdip sebut sukmawati tidak bisa ditahan karena dia orang kuat,percuma dilaporkan pdip sebut sukmawati tidak bisa ditahan karena dia orang kuat,2,2
H-67,"Gara-gara Tamu Asing Sering ke Kantor Anies daripada ke Istana Presiden, Ibukota pun Dipindah",garagara tamu asing sering ke kantor anies daripada ke istana presiden ibukota pun dipindah,garagara tamu asing sering ke kantor anies daripada ke istana presiden ibukota pun dipindahkan,2,2
H-68,Serangga yang Dapat Menyebabkan Tubuh Berlubang dan Sakit Luar Biasa Ketika Disentuh,serangga yang dapat menyebabkan tubuh berlubang dan sakit luar biasa ketika disentuh,serangga yang dapat menyebabkan tubuh berlubang dan sakit luar biasa ketika disentuh,2,2
H-69,"Mahfud MD: Jika Tidak Ada Yang Jemput Guru Saya, Biar Saya Saja Yang Jemput HRS",mahfud md jika tidak ada yang jemput guru saya biar saya saja yang jemput hrs,mahfud md jika tidak ada yang jemput guru saya biar saya saja yang jemput harus,2,2
H-70,"Foto di Istana Bogor, Bayar Rp. 15 ribu",foto di istana bogor bayar rp 15 ribu,foto di istana bogor bayar rp 15 ribu,2,2
H-71,Menhan: Wajib Militer Ampuh Menangkal Bangkitnya PKI,menhan wajib militer ampuh menangkal bangkitnya pki,menhan wajib militer ampuh menangkal bangkitnya pki,2,2
H-72,"Cegah ""Radikalisme"", Menag akan Ganti Ayat-Ayat Alquran?",cegah radikalisme menag akan ganti ayatayat alquran,cegah radikalisme menag akan ganti ayatayat alquran,2,2
H-73,Ade Armando Akting Sakit Ketika Mau Dipanggil Polisi,ade armando akting sakit ketika mau dipanggil polisi,ade armando akting sakit ketika mau dipanggil polisi,2,2
H-74,Gebrakan Menteri Kesehatan yang Baru,gebrakan menteri kesehatan yang baru,gebrakan menteri kesehatan yang baru,2,2
H-75,Menhan Prabowo dan Panglima akan menertibkan ORMAS yang berpakaian mirip Uniform TNI,menhan prabowo dan panglima akan menertibkan ormas yang berpakaian mirip uniform tni,menhan Prabowo dan panglima akan menertibkan ormas yang berpakaian mirip uniform tni,2,2
H-76,Penyumbatan di usus karena konsumsi mie atau spaghetti yang disingkirkan saat dokter melakukan operasi,penyumbatan di usus karena konsumsi mie atau spaghetti yang disingkirkan saat dokter melakukan operasi,penyumbatan di usus karena konsumsi mie atau spaghetti yang disingkirkan saat dokter melakukan operasi,2,2
H-77,"Tadi malam UU tentang suara azan telah disahkan, pemerintah Jokowi akan bertindak tegas dengan pelanggaran UU",tadi malam uu tentang suara azan telah disahkan pemerintah jokowi akan bertindak tegas dengan pelanggaran uu,tadi malam uu tentang suara azan telah disahkan pemerintah Jokowi akan bertindak tegas dengan pelanggaran uu,2,2
H-78,Video seorang wanita tersentuh oleh kuasa Roh Kudus panik di pesawat Cayman Airways,video seorang wanita tersentuh oleh kuasa roh kudus panik di pesawat cayman airways,video seorang wanita tersentuh oleh kuasa roh kudus panik di pesawat cayman airways,2,2
H-79,Johnny G Plate Menteri Kominfo Beri Gebrakan Gratis Telepon,johnny g plate menteri kominfo beri gebrakan gratis telepon,johnny g plate menteri kominfo beri gebrakan gratis telepon,2,2
H-80,Pelajar Sekolah Meninggal Ketika Sedang Bermain Game Online,pelajar sekolah meninggal ketika sedang bermain game online,pelajar sekolah meninggal ketika sedang bermain game online,2,2
H-81,"Prabowo Masih Kurang Cocok Jadi Menhan, Harusnya Coba Menjabat Dari Ketua RT Dulu",prabowo masih kurang cocok jadi menhan harusnya coba menjabat dari ketua rt dulu,Prabowo masih kurang cocok jadi menhan harusnya coba menjabat dari ketua rt dulu,2,2
H-82,"Allah Bukan Dari Arab, Jadi Kalau Berdoa Di Masjid Pakai Bahasa Indonesia Saja",allah bukan dari arab jadi kalau berdoa di masjid pakai bahasa indonesia saja,allah bukan dari arab jadi kalau berdoa di masjid pakai bahasa indonesia saja,2,2
H-83,Lowongan Kerja PT Angkasa Pura 1 2019,lowongan kerja pt angkasa pura 1 2019,lowongan kerja pt angkasa pura 1 2019,2,2
H-84,Auman raksasa dajjal dari bawah dasar lautan Samudra Pasifik,auman raksasa dajjal dari bawah dasar lautan samudra pasifik,auman raksasa dajjal dari bawah dasar lautan samudra pasifik,2,2
H-85,"Kecewa Kader NU Tak Di Jadikan Menteri Agama, PBNU Do’akan Jokowi Kualat",kecewa kader nu tak di jadikan menteri agama pbnu doakan jokowi kualat,kecewa kader nu tak di jadikan menteri agama pbnu doakan Jokowi kualat,2,2
H-86,Jokowi Memberikan Setengah Kekuasaannya kepada Prabowo,jokowi memberikan setengah kekuasaannya kepada prabowo,Jokowi memberikan setengah kekuasaannya kepada Prabowo,2,2
H-87,AWAS....!!!! GELOMBANG PANAS KINI MELANDA NEGARA KITA,awas gelombang panas kini melanda negara kita,awas gelombang panas kini melanda negara kita,2,2
H-88,"Hamza Dalj asal Aljazair, hacker yang membantu Palestina dihukum mati",hamza dalj asal aljazair hacker yang membantu palestina dihukum mati,hamza dalj asal aljazair hacker yang membantu palestina dihukum mati,2,2
H-89,Gerindra: Pak Prabowo Sudah Mengirim Utusan Untuk Kepulangan Habib Rizieq Shihab,gerindra pak prabowo sudah mengirim utusan untuk kepulangan habib rizieq shihab,Gerindra pak Prabowo sudah mengirim utusan untuk kepulangan habib rizieq shihab,2,2
H-90,Pangling! Mari Cek Harga Tas Hermes Ibu Wury Ma'ruf Amin Saat Pelantikan,pangling mari cek harga tas hermes ibu wury maruf amin saat pelantikan,pangling mari cek harga tas hermes ibu wury ma'ruf amin saat pelantikan,2,2
H-91,RSCM Praktekkan Penyedotan Plug (Sumbatan) Vena/Saluran Darah,rscm praktekkan penyedotan plug sumbatan venasaluran darah,rscm praktekkan penyedotan plug sumbatan venasaluran darah,2,2
H-92,"Prabowo: Saya Terima Jabatan Menteri Pertahan, Dengan Syarat Pemerintah Pulangkan HRS",prabowo saya terima jabatan menteri pertahan dengan syarat pemerintah pulangkan hrs,Prabowo saya terima jabatan menteri pertahanan dengan syarat pemerintah pulangkan harus,2,2
H-93,Pesan Larangan Kendaraan Plat AD Solo ke Jogja,pesan larangan kendaraan plat ad solo ke jogja,pesan larangan kendaraan plat ad solo ke Yogyakarta,2,2
H-94,Jokowi Tersinggung Banyak Rakyat Matikan TV Saat Pelantikan,jokowi tersinggung banyak rakyat matikan tv saat pelantikan,Jokowi tersinggung banyak rakyat matikan tv saat pelantikan,2,2
H-95,"McDonald, KFC, Dominos, dan Pizza Hut Sudah Dicabut Sertifikasi Halalnya",mcdonald kfc dominos dan pizza hut sudah dicabut sertifikasi halalnya,mcdonald kfc dominos dan pizza hut sudah dicabut sertifikasi halalnya,2,2
H-96,Gatot Nurmantyo Dicopot sebagai Panglima TNI karena Gagalkan Penyelundupan Senjata dari Cina,gatot nurmantyo dicopot sebagai panglima tni karena gagalkan penyelundupan senjata dari cina,gatot nurmantyo dicopot sebagai panglima tni karena gagalkan penyelundupan senjata dari cina,2,2
H-97,Kepulauan Maluku Tenggelam ke Jurang Palung Laut,kepulauan maluku tenggelam ke jurang palung laut,kepulauan maluku tenggelam ke jurang palung laut,2,2
H-98,Hujan batu seperti serpihan meteor menuju bumi di Purwakarta,hujan batu seperti serpihan meteor menuju bumi di purwakarta,hujan batu seperti serpihan meteor menuju bumi di purwakarta,2,2
H-99,Maskapai penebangan Turki melarikan diri dari tabrakan yang direncanakan oleh teroris dengan tanker bahan bakar,maskapai penebangan turki melarikan diri dari tabrakan yang direncanakan oleh teroris dengan tanker bahan bakar,maskapai penebangan turki melarikan diri dari tabrakan yang direncanakan oleh teroris dengan tanker bahan bakar,2,2
H-100,"600 Orang Terjangkit Difteri, Dinkes Imunisasi Masal Desember Mendatang",600 orang terjangkit difteri dinkes imunisasi masal desember mendatang,600 orang terjangkit difteri dinkes imunisasi masal desember mendatang,2,2
H-101,Presiden Jokowi Melecehkan Bendera Merah Putih,presiden jokowi melecehkan bendera merah putih,presiden Jokowi melecehkan bendera merah putih,2,2
H-102,Terjadi Tsunami Malam Tahun Baru 31 Desember 2019 Seluruh Indonesia,terjadi tsunami malam tahun baru 31 desember 2019 seluruh indonesia,terjadi tsunami malam tahun baru 31 desember 2019 seluruh indonesia,2,2
H-103,"China Menunggu Kekacauan Indonesia, Bila Indonesia Sudah Kacau, China Akan Masuk Ke Indonesia Dengan Alasan Mengamankan Harta Mereka",china menunggu kekacauan indonesia bila indonesia sudah kacau china akan masuk ke indonesia dengan alasan mengamankan harta mereka,china menunggu kekacauan indonesia bila indonesia sudah kacau china akan masuk ke indonesia dengan alasan mengamankan harta mereka,2,2
H-104,Deddy Corbuzier Berikan Mobil untuk Shinta Nuriyah,deddy corbuzier berikan mobil untuk shinta nuriyah,Deddy Corbuzier berikan mobil untuk shinta nuriyah,2,2
H-105,Air Liur Dari Terompet Dapat Sebarkan Penyakit Berbahaya,air liur dari terompet dapat sebarkan penyakit berbahaya,air liur dari terompet dapat sebarkan penyakit berbahaya,2,2
H-106,Video Jokowi Mulai Pucat SBY Ungkap Pelaku Korupsi,video jokowi mulai pucat sby ungkap pelaku korupsi,video Jokowi mulai pucat Surabaya ungkap pelaku korupsi,2,2
H-107,singapore seperti china komunis yang membenci Islam,singapore seperti china komunis yang membenci islam,Singapura seperti china komunis yang membenci islam,2,2
H-108,Penyiksaan oleh komunis terhadap muslim Uighur,penyiksaan oleh komunis terhadap muslim uighur,penyiksaan oleh komunis terhadap muslim uighur,2,2
H-109,Tentara Malaysia Siap Diterjunkan Ke Palestina,tentara malaysia siap diterjunkan ke palestina,tentara malaysia siap diterjunkan ke palestina,2,2
H-110,Jokowi Halal Dilengserkan,jokowi halal dilengserkan,Jokowi halal dilengserkan,2,2
H-111,Cara Cepat Cek Jantung Dengan Air dan Es Batu,cara cepat cek jantung dengan air dan es batu,cara cepat cek jantung dengan air dan es batu,2,2
H-112,Mungkin Kali ciliwung mw bilang @aniesbaswedan I’m coming..!!,mungkin kali ciliwung mw bilang mention_user im coming,mungkin kali Ciliwung mau bilang mention_user saya datang,2,2
H-113,jokowi pewaris indonesia krn beliau cucu sunan kali jaga,jokowi pewaris indonesia krn beliau cucu sunan kali jaga,Jokowi pewaris indonesia krn beliau cucu sunan kali jaga,2,2
H-114,tercetak sebelum tgl 1 januari,tercetak sebelum tgl 1 januari,tercetak sebelum tanggal 1 januari,2,2
H-115,"Fatimah Aynur, Muslimah cantik Uyghur yang syahid tewas disiksa, diperkosa dan dibunuh oleh komunis China",fatimah aynur muslimah cantik uyghur yang syahid tewas disiksa diperkosa dan dibunuh oleh komunis china,fatimah aynur muslimah cantik uyghur yang syahid tewas disiksa diperkosa dan dibunuh oleh komunis china,2,2
H-116,seorang perwira Cina memukuli seorang Muslim Uyghur karena memiliki salinan Alquran,seorang perwira cina memukuli seorang muslim uyghur karena memiliki salinan alquran,seorang perwira cina memukuli seorang muslim uyghur karena memiliki salinan alquran,2,2
H-117,TIDAK DIBERITAKAN OLEH MEDIA MAINSTREAM,tidak diberitakan oleh media mainstream,tidak diberitakan oleh media mainstream,2,2
H-118,Ternyata Sandiaga Salahuddin Uno ( SANDI ) Punya Gelar Professor tetapi tidak dipakainya,ternyata sandiaga salahuddin uno sandi punya gelar professor tetapi tidak dipakainya,ternyata sandiaga salahuddin uno sandi punya gelar professor tetapi tidak dipakainya,2,2
H-119,kedzoliman rezim pasti terkuak,kedzoliman rezim pasti terkuak,kedzoliman rezim pasti terkuak,2,2
H-120,The Jakmania dan Suporter Semen Padang Dukung Jokowi-Ma’ruf Amin Dalam Pilpres 2019,the jakmania dan suporter semen padang dukung jokowimaruf amin dalam pilpres 2019,the jakmania dan suporter semen padang dukung jokowimaruf amin dalam pilpres 2019,2,2
H-121,Anggota Panwaslu dan KPU Buka Belang Lembaganya,anggota panwaslu dan kpu buka belang lembaganya,anggota panwaslu dan kpu buka belang lembaganya,2,2
H-122,masa lewat got sampai nyungsep segitunya,masa lewat got sampai nyungsep segitunya,masa lewat got sampai nyungsep segitunya,2,2
H-123,TNI-Polri Pose Dua Jari Dukung Prabowo-Sandiaga,tnipolri pose dua jari dukung prabowosandiaga,tnipolri pose dua jari dukung prabowosandiaga,2,2
H-124,Satu lagi kebohongan @sandiuno,satu lagi kebohongan mention_user,satu lagi kebohongan mention_user,2,2
H-125,"SRI MULYANI: YANG TERIMA GAJI GURU TETAP, YANG CAPEK MENGAJAR MALAH HONORER",sri mulyani yang terima gaji guru tetap yang capek mengajar malah honorer,sri mulyani yang terima gaji guru tetap yang capek mengajar malah honorer,2,2
H-126,Sakit nya tuh disini,sakit nya tuh disini,sakit nya tuh di sini,2,2
H-127,Ternyata Prabowo Bisa Ngaji,ternyata prabowo bisa ngaji,ternyata Prabowo bisa ngaji,2,2
H-128,Postingan Akun Facebook Lambe Turah yang Sebut Pelaku Pembunuhan Siswi SMK Sudah Ditangkap,postingan akun facebook lambe turah yang sebut pelaku pembunuhan siswi smk sudah ditangkap,postingan akun Facebook lambe turah yang sebut pelaku pembunuhan siswi smk sudah ditangkap,2,2
H-129,TERJADI AKSI BUNUH DIRI DI KAWASAN SUKOHARJO,terjadi aksi bunuh diri di kawasan sukoharjo,terjadi aksi bunuh diri di kawasan sukoharjo,2,2
