komentar_id,Username,T_komentar,link,label
UgxY-94RxzTe6eioGH54AaABAg,@abuabdillahumar1870,"Nasihat Yang Mulia
بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ
 Sesungguhnya aku bagimu termasuk pemberi nasihat

Bertaqwalah engkau kepada ALLOH

Ketahuilah bahwa tidak ada ILAH yang berhak untuk diibadahi dengan benar kecuali hanyalah ALLOH
فَٱعۡلَمۡ أَنَّهُۥ لَآ إِلَٰهَ إِلَّا ٱللَّهُ وَٱسۡتَغۡفِرۡ لِذَنۢبِكَ وَلِلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِۗ وَٱللَّهُ يَعۡلَمُ مُتَقَلَّبَكُمۡ وَمَثۡوَىٰكُمۡ 
[Surat Muhammad: 19]

Maka ketahuilah, bahwa tidak ada ILAH (yang berhak diibadahi) kecuali hanyalah ALLOH, dan mohonlah ampunan atas dosamu dan atas (dosa) orang-orang yang beriman dari kalangan laki-laki dan perempuan. Dan ALLOH Maha Mengetahui tempat usaha kalian dan tempat tinggal kalian

pentingnya menjaga kehormatan diri dan kesucian diri
  قُل لِّلۡمُؤۡمِنِينَ يَغُضُّواْ مِنۡ أَبۡصَٰرِهِمۡ وَيَحۡفَظُواْ فُرُوجَهُمۡۚ ذَٰلِكَ أَزۡكَىٰ لَهُمۡۚ إِنَّ ٱللَّهَ خَبِيرُۢ بِمَا يَصۡنَعُونَ 
[Surat An-Nur: 30]

Katakanlah kepada laki-laki yang beriman, agar mereka menjaga dari pandangan pandangan mereka, dan memelihara kemaluan mereka yang demikian itu lebih suci bagi mereka. Sungguh, ALLOH Maha Mengetahui apa yang mereka perbuat.
وَقُل لِّلْمُؤْمِنَٰتِ يَغْضُضْنَ مِنْ أَبْصَٰرِهِنَّ وَيَحْفَظْنَ فُرُوجَهُنَّ وَلَا يُبْدِينَ زِينَتَهُنَّ إِلَّا مَا ظَهَرَ مِنْهَا ۖ وَلْيَضْرِبْنَ بِخُمُرِهِنَّ عَلَىٰ جُيُوبِهِنَّ ۖ وَلَا يُبْدِينَ زِينَتَهُنَّ إِلَّا لِبُعُولَتِهِنَّ أَوْ ءَابَآئِهِنَّ أَوْ ءَابَآءِ بُعُولَتِهِنَّ أَوْ أَبْنَآئِهِنَّ أَوْ أَبْنَآءِ بُعُولَتِهِنَّ أَوْ إِخْوَٰنِهِنَّ أَوْ بَنِىٓ إِخْوَٰنِهِنَّ أَوْ بَنِىٓ أَخَوَٰتِهِنَّ أَوْ نِسَآئِهِنَّ أَوْ مَا مَلَكَتْ أَيْمَٰنُهُنَّ أَوِ ٱلتَّٰبِعِينَ غَيْرِ أُو۟لِى ٱلْإِرْبَةِ مِنَ ٱلرِّجَالِ أَوِ ٱلطِّفْلِ ٱلَّذِينَ لَمْ يَظْهَرُوا۟ عَلَىٰ عَوْرَٰتِ ٱلنِّسَآءِ ۖ وَلَا يَضْرِبْنَ بِأَرْجُلِهِنَّ لِيُعْلَمَ مَا يُخْفِينَ مِن زِينَتِهِنَّ ۚ وَتُوبُوٓا۟ إِلَى ٱللَّهِ جَمِيعًا أَيُّهَ ٱلْمُؤْمِنُونَ لَعَلَّكُمْ تُفْلِحُونَ

Artinya: Katakanlah kepada wanita yang beriman: ""Hendaklah mereka menundukkan pandangan pandangan mereka, dan menjaga kemaluan mereka, dan janganlah mereka menampakkan perhiasan mereka, kecuali yang (biasa) nampak dari padanya. Dan hendaklah mereka menutupkan kain kudung ke dada mereka dan janganlah menampakkan perhiasannya kecuali kepada suami mereka, atau ayah mereka, atau ayah suami mereka, atau putera-putera mereka, atau putera-putera suami mereka, atau saudara-saudara laki-laki mereka, atau putera-putera saudara lelaki mereka, atau putera-putera saudara perempuan mereka, atau wanita-wanita muslimah, atau budak-budak yang mereka miliki, atau pelayan-pelayan laki-laki yang tidak mempunyai keinginan (terhadap wanita) atau anak-anak yang belum mengerti tentang aurat wanita. Dan janganlah mereka memukulkan kaki mereka agar diketahui perhiasan yang mereka sembunyikan. Dan bertaubatlah kamu sekalian kepada ALLOH, hai orang-orang yang beriman supaya kamu beruntung",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxgqrjnRc7kAH5sFoR4AaABAg,@devialiyanti3963,Kak boleh gk sama aku,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugx6yfBTGh7F7cAEdhd4AaABAg,@Nurukohbajako-gs2uj,",,,🌹",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxEw9zN5c__fawUcPh4AaABAg,@rullyfauzi1364,Mbak pakai kondom kurang puas,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxNZ5zSQdyRo4UGiV94AaABAg,@AkiDeny,Udah nggak laku lagi,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugy1kb2lQTVqDGOgR3h4AaABAg,@pupunlogin5961,Syasya pesona Indonesia 🤭,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxsY4RfmhMSHX_tjSJ4AaABAg,@ПетроАндрейцов,🌷❣️🥰💐🏍️🧸🔥🤗🐕,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzX12QcxUrLvVqrk9h4AaABAg,@خالدشملانشملان,رغبه فيكي تاريخ تماما الان,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugz-0OybbSlij3xP3up4AaABAg,@hanif2861,Gak enak guna kondom,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwFinlb1WtE_yH3AyV4AaABAg,@HamaHama-rk9cl,🔥🔥💋🌹good morning,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugzwkui3ZC0Mximy1V54AaABAg,@vindolomboklombok7644,Mlm cantik 🌹🌹🌹,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyJdo8BHOdXXRKtCg54AaABAg,@agusdemon659,Buat balon,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugwjs26xPUetfL3g2Hd4AaABAg,@TaufikHidayat-st3ly,😍,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwFrtAv_9hhS3-xeGx4AaABAg,@aristores1503,Mantap sexy bikin basah,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwqADoMRLvhOhVNFst4AaABAg,@novacakep2175,"5 th lalu,,msih nongol 😁",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyeS1ia3zXVjeQ8DUN4AaABAg,@hasrunbarakatiang8649,"Wow koleksi kondomnya banyak.
Sharelock dong,pingin mencoba kondom nya",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyuXfHQU9ea4oql49h4AaABAg,@adhycalvin508,Beli baju ny dmn yah,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxGkjrupF2TheK-oxl4AaABAg,@yokecarlo5399,Li cin geli.,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzSJcYro3BMej6_qaZ4AaABAg,@sodeg222gg4,Kusus.stw.yg.muda.jangan.tersinggung.dr.ak.mbh.gesod,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugwbs5SkmSavL1-IARl4AaABAg,@antikadalgurun1155,"Ketika main saya ga pake kondom,  kalo mau keluar baru pasang kondom... 👍",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugwf19V8cIjn1L5IKxl4AaABAg,@bagasethophia4953,Ngomong doang ngerasain juga blm pernah,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwxFA7UzPxSIyHLwrB4AaABAg,@ariestores1425,Susunya mantap sayang,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzFpDF7Dd7jJdIA5ud4AaABAg,@handifadilla456,Mutu iya sih aku aja deh buat gue,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugxf7VK8Y22R3qNf32t4AaABAg,@aldisetiawan5516,Sampean vidione enek ora mba seng praktek langsung ngew nya,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzWRcuufJ6Kr2EPfcl4AaABAg,@tedykuswanto8359,Minta satu kondomnya doong cantiiik dan masukkan ke milikmu ya kalo sudah di pasang di punyaku ini yg masih perjakaa,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyZJw1ZIW8WX_xZZit4AaABAg,@barethijau8026,bisa di boking,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzbQXP8CaDtEQXdAdB4AaABAg,@matnoranas5695,Sassha🔥🔥🔥🔥🔥🔥🔥,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwWsMdWcoZcOfxV9O54AaABAg,@matnoranas5695,🔥🔥🔥🔥🔥🔥🔥,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwhSYX8dK1h1BMTc_V4AaABAg,@anakrantauliar2769,Pecah bulu,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxKbt1AB0_06ML_fhR4AaABAg,@arsysticker,Yang terakhir kameramen dan si mbanya nyobain kondomnya,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgximPQTuSJvHWvmUA94AaABAg,@sukarya1237,Wat hahaha 😃😍,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwPimxOoYyzhYxnZPd4AaABAg,@devandahanifan7184,"Dapat diterima ✌️😀
Semoga hari anda menyenangkan",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwbHGIK0rDS1X322jV4AaABAg,@wawanvika1543,dosa Anjing,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugwf8ICMEtJSpLmQTld4AaABAg,@jasnijasni1983,🤔🤔🤔🤔🤔🤔🤔🤔,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyFdH4jscM5ALnI2514AaABAg,@davidendless4564,Susunya kecil,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugx3SMhx201wGv1mzeh4AaABAg,@ivantea2834,Tocil tocil gemoyy,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwFevwMVQ3BbML2DYV4AaABAg,@muhammaduang1814,Saya sudah pakai kondom tapi penyakit gonore kambuh lagi,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxCQgjapTPi2UComLd4AaABAg,@cakganteng6130,"Gak enak pke kondom.gak bisa crot di dalam vagina,terus rasa kemptanya ato denyutanya vagina gak terasa sayang",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwUaHGHipbrLTaw7TZ4AaABAg,@cahyaberem1386,Mau popo,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwRfKFiT8aPdHgtcqh4AaABAg,@bangucok2656,"Bf,,023#",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugwq7kwWgnzeAFJbwIN4AaABAg,@ninaardila8756,B87,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwFIe4HMD_u_3KKE7x4AaABAg,@narsitasita7270,Wowwwwww segerrrr,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzPL7V8l9pH8dWAC2R4AaABAg,@chairilsahaja3395,Tititnya kurang gede,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwXvmuQ0AM3Di7jaSZ4AaABAg,@YogaPratama-pu4pv,buka baju kk,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyqzSOvfZDBInDEKtR4AaABAg,@sinurmelisa9477,Ngomong in kondom yg lihat 23 jt viewer 😂😂,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxMw6V6n8RCjoOYUl94AaABAg,@fajar7340,b***,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyQswqphERfzlSdMvN4AaABAg,@fajar7340,****,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxC7dQOl5T-GzEUPwV4AaABAg,@andiprasetyo8449,❤️❤️❤️,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugw4CtjrCbYYhIykLdt4AaABAg,@pemudakalbar4116,Yah netizen sange sange,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugw_cmDKYqd2dQGTD6R4AaABAg,@zaenalardi1205,Sapa sing igat Allah,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugx62rfyrow4fpd_Uv14AaABAg,@muhfiqriramadhan6227,Praktek,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxBKLHYnObOSLamfat4AaABAg,@petapagenit4857,Sett sasha bikin gua engas,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugz1Ovobh9ZtcLJ80ut4AaABAg,@ketoetastawa3509,"Terlalu keras , kondomnya pecah.",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyVyo2D29x-kbTD0-14AaABAg,@crvr9898,Kak sasa ni klo di anal kira2 menjerit g ya....pnasaran gua,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugy_IAfafXInKXhXKYx4AaABAg,@rowiyah7288,.,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyIOlNeSK2B11aPzzp4AaABAg,@mbahwarijan4598,salam kenal ya dari mbah warijan salm gotong royong,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugxi7dTjLAUxqgoeYqF4AaABAg,@linmasbrolinmasbro4718,Lin masbro 🙏🙏🙏,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxmNIHKgDWtKuEtcAZ4AaABAg,@sarifrahman612,",ok",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgysyKlq4WW8kG7RlHp4AaABAg,@rehanzulmi7175,Kgknvyb,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxwlItgey6MSKr-R694AaABAg,@yuliarto7231,Enak nggak pakai kondom,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxwlItgey6MSKr-R694AaABAg.9LNL2z7MdeY9PO9mKJLtRu,@aimanrizwan9296,gak,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwjFK8gxSTFnpjASuR4AaABAg,@maxa2883,ewean sama,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugw_SLRJvjqKAgrtvKx4AaABAg,@ilhamradin1373,sayang aku ingin,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzGANWQ_FTwW83qqm14AaABAg,@yanditirta9220,Ga tahan Tetenya Broooo montok😀😀😀,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzrmzcJv3p00USv94J4AaABAg,@geraldrodriguez1731,Stunning Young Lady WOW 😍,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyFeK9vNdnef-bePfx4AaABAg,@andhikalorowahi6269,Susunya tu enak lo,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugz3_iDuQg6lPsogD_14AaABAg,@regalsausu7084,Mau pun,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgwCYG3KTaSkzCb6TF94AaABAg,@iwangunawana1506,Kondom artinya apa sih,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyVW6tguE_js7H4IzR4AaABAg,@jokosangkan4810,UU desa f hi KB cry NTT dari k7vj7xe ini see h 64.,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgztOPW4CW5hfGyujVl4AaABAg,@zumrotulljannah4521,Bikin ngiler mbk tt.x,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgztOPW4CW5hfGyujVl4AaABAg.9JuWAaLetN49PO9qHLrwKc,@aimanrizwan9296,astaga mbak,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxIOD1kIhKaErp2Bix4AaABAg,@mizankhan190,😛😋😜🤪😝💋⚘,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugz50tY8zn0u5vQI-EZ4AaABAg,@TaufikHidayat-st3ly,gitu ya kak,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxLqtn7XX9OcQ9q9Qt4AaABAg,@atjaiatjai1301,sasa lama enggak ketemu? jaa?,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyHEIScUmKG-XGpTP54AaABAg,@isundoank7257,"Jngan asal pilih pelumas,pakelah pelumas asli PERTAMINA😅😅",https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugx0u40UmUd_F_sXhCd4AaABAg,@roslina5520,Mamet,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugzu1_ygjfg6pxXkbQh4AaABAg,@hallow4076,Takut hamil:vv,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugytymw2Cl0U4CH-VNx4AaABAg,@mamattoing8512,Sasa,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxOjyFrppLXzhzgnW94AaABAg,@margaretyonatan6537,Wow 23M view! Congrats Sassha & Vivo ❤,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgyEmXMjMCGLCQxSMa14AaABAg,@arifrijal9606,Ingin kencan mau bunget,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgweGRvUH8BeU9MUTIZ4AaABAg,@Neymar-le1iz,kita ajk aya,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzpoSIDvysssPx5kcN4AaABAg,@hendarsinhasan4341,Memang ga ada yg lebih sopan lagi ya....,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxMLBJP9uTqyTvPIrx4AaABAg,@pmashan97,💖💖,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgxSfx0LVC6QDpmDtQl4AaABAg,@ayongguyu5621,Make up-nya medok mbk 😂,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
UgzpZPB58DpMtBfTpSZ4AaABAg,@bucinkekinian7193,Ooh ya,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
Ugxk4upDtILUEXcMzBh4AaABAg,@asesunarna3798,Aku blm pernah sih kondom ituh  apah sih,https://youtu.be/wYC23b-Yckk?si=fvJ-X2AGS1FbLEJZ,
