slang,baku,index
aff,afeksi,257
ngerusak,merusak,258
gilirin,giliran,259
koncoku,temanku,260
jatahku,jatah,261
setorkan,setor,262
hbde,habis,263
cromee,crom,264
laguuu,lagu,265
every,setiap,266
semangaaaatt,semangat,267
anjiirrr,anjir,268
diinpoo,diinformasikan,271
wkt,waktu,273
paingan,paling,274
pembullyan,pembulian,275
gmpng,gampang,276
diam2,diam-diam,277
promion,promosi,279
buaut,buat,280
chaos,kekacauan,281
kemelete,kemeleton,282
katain,katakan,283
update,perbarui,284
egg,telur,286
mautengo,mauteng,287
maps,peta,288
salamsarmila,salam,290
k5n,kawan,291
serabg,serabutan,292
cewem,cewek,293
e9l,el,294
kawanya,kawannya,297
nex,next,300
dndaa,dinda,301
cnth,contoh,303
aseli,asli,305
lalaa,lala,306
evakuasine,evakuasi,307
setingannya,settingnya,308
4batalyon,empat batalyon,309
bentar2,bentar,310
haii,hai,311
cewek2,cewek,312
iki,ini,313
gurl,gadis,314
seriusin,serius,315
dihotel,di hotel,317
stayy,stay,318
lucunyaa,lucunya,320
wleeee,weleh,321
arttis,artis,322
kerajaan2,kerajaan,323
kex,kek,324
th2022,tahun 2022,325
prkatek,praktek,326
duuuh,duh,327
waalaupun,walaupun,328
guling2,guling,329
kucelll,kucel,330
searon,seharusnya,331
ngedengerin,mendengarkan,332
luh,kamu,333
njjer,ngerjain,334
jumatnya,Jumat,335
merekalah,mereka,336
kacamatanya,kacamata,337
begerak,bergerak,338
nikmir,nikmat,339
model2,model-model,340
mbakny,mbaknya,341
bazer,buzzer,343
mbaeh,nenek,344
nunggui,menunggu,345
saingin,saing,347
dibjlangg,dijelaskan,348
kemanaa,ke mana,350
kitamah,kita,351
babai,baba,352
anjirrrrrr,anjir,353
haloo,halo,355
liatindong,lihat dong,357
og,oh,358
kasii,kasih,391
maenin,main,392
tein,teen,393
ishere,is here,394
ikhlass,ikhlas,395
ketau,ketahui,396
kacauuu,kacau,397
kunaraon,kenapa,398
kuyangpun,ku yang pun,399
item2,item,400
terlihatdikamera,terlihat di kamera,402
astagfiruloohhh,astaghfirullah,403
cay,sayang,404
lgsg,langsung,405
deee,deh,406
dosa2,dosa,407
klahiran,kelahiran,408
kaliman,kalimat,409
naekin,naik,410
imah,inimah,413
shock,terkejut,414
wkwkkwkwkwkkw,wkwkwkw,415
gad,gak,418
seremm,seram,541
cuyy,cuy,542
prepare,persiapkan,544
wauuu,wow,545
jibb,jib,546
bsh,bisa,547
wkkwww,hahaha,548
insa,insya Allah,550
rakos,rakus,554
sed,sedih,555
tkd,tidak,558
anjjkjj,anjing,561
intor,intro,562
cilembang,Cilembang,563
flavors,rasa,564
benaar,benar,565
mlon,melon,567
sesampah,sampah,568
darimana,dari mana,570
aslii,asli,691
tererang,terang,692
maruk,rakus,693
maenkan,mainkan,694
aela,aila,695
destinataion,destinasi,696
basedannn,based,697
england,inggris,698
jendolannya,jendol,699
mesumm,mesum,701
mengadud,mengaduk,702
dipostingan,diposting,703
smp2,smp,704
monetize,monetisasi,705
joroknya,jorok,706
rose,mawar,711
zuper,super,712
anjirlah,anjir,713
ribut2,ribut,714
ngiluuuu,ngilu,715
dikantong,di kantong,716
meithal,meital,717
normalize,normalisasi,718
ganrang,gengrang,719
irumoh,rumah,720
brobro,bro,992
dizaman,di zaman,993
ravishing,menawan,996
ngerugiin,merugikan,997
kuhapus,ku hapus,998
batmannnnn,Batman,999
nspsu,nspu,1002
skarang,sekarang,1003
pikirinn,pikirin,1004
bnrn,benar,1005
tel4njang,telanjang,1006
strangers,asing,1008
mapann,mampan,1009
mongso,musim,1011
efortnya,usaha,1012
taglaut,tag laut,1013
acehh,Aceh,1014
idioma,idiom,1016
unlk4d,untuk,1017
puloe,pulau,1019
3some,hubungan seksual bertiga,1202
electronic,elektronik,1203
nggih,iya,1204
24d,dua puluh empat,1205
ass,bokong,1206
wajarlah,wajar,1207
pulangggg,pulang,1210
pppp,p,1211
walidd,walid,1212
mikirr,mikir,1213
fikirkan,pikirkan,1214
20rban,dua puluh ribu,1215
mllu,mulu,1217
vidnya,video,1219
jadilan,jadikan,1220
mantannn,mantan,1221
bwt,buat,1222
huahahha,huahaha,1223
7,tujuh,1224
sampeyam,kamu,1225
qobul,qabul,1227
ggal,gagal,1228
faseh,fase,1229
terlasu,terlalu,1291
vidioo,video,1292
alfatih,Al-Fatih,1296
kejinya,keji,1297
icha,Icha,1298
marai,marah,1299
adek2an,adekan,1302
icibossss,icibos,1303
job,pekerjaan,1304
maseh,masih,1306
sck,sick,1308
rakuattii,raku,1309
rfid,RFID,1310
luculu,lucu,1311
lenot,lempung,1312
sukaa,suka,1313
statement,pernyataan,1315
filterr,filter,1316
wkkwkww,hahaha,1317
bodinya,bodi,1319
coveted,diharapkan,1320
broh,bro,1352
mldak,meladak,1353
melekbareng,melek bareng,1354
ketangkep,ketangkap,1356
haahaha,hahaha,1357
ngejilatin,ngejilat,1358
papap,papa,1360
dbcok,deh cok,1361
kacau2,kacau-kacau,1362
africa,Afrika,1363
nylafkahin,nyalafkahin,1364
tadarussan,tadarusan,1365
astagaaaa,astaga,1367
knpp,kenapa,1369
nambah2,nambah-nambah,1371
amoba,amoeba,1373
maeh,maaf,1375
merrka,mereka,1377
choko,coklat,1378
guee,gue,1379
gasih,kasih,1380
podcase,podcast,1502
kzl,kesal,1503
maii,mai,1511
wot,what,1512
terharuuuu,terharu,1513
jau,jauh,1517
astaghfirullaah,astaghfirullah,1518
chatez,chat,1521
dmana,di mana,1522
cahayu,cahaya,1523
vidioin,video,1533
ekslusif,eksklusif,1535
acil,kecil,1537
anter,antar,1538
jarene,katanya,1540
tanem,tanam,1541
dach,dah,1542
nurut,nuruti,1543
serudug,seruduk,1544
cangkemme,cangkemku,1545
ngakat,mengangkat,1548
ngelihatin,melihat,1550
take,ambil,1551
jauhan,jauh,1552
ganta,ganti,1553
langsng,langsung,1555
pencarianki,pencarianku,1556
harassed,terganggu,1560
pedee,pedih,1561
pintarmu,pintar,1562
kelaperan,kelaparan,1563
ngelawan,melawan,1564
adap2x,ada,1565
gasiee,gas,1566
tii,ti,1567
univ2,universitas,1569
berpa,berapa,1570
mrasakan,merasakan,1571
kaleuh,kalah,1572
sempitt,sempit,1573
cantippp,cantik,1574
aveh,apa,1576
paragoy,parah,1578
teknologia,teknologi,1580
mempersilahkan,mempersilakan,1582
seramai,ramai,1583
oknumny,oknum,1584
enakmu,enak,1585
giurissssss,jujur,1586
savesafeeadanadiknya,savesafe dan adiknya,1587
tikungsih,tikung,1589
mbcccc,mb,1590
kenapaaaa,kenapa,1591
alamatny,alamatnya,1592
feel,rasa,1593
subscribe,berlangganan,1594
gedee,gede,1595
pajah,pah,1596
lovesall,cinta semuanya,1597
koncone,teman,1598
lend,pinjam,1599
ajja,aja,1600
jakrta,jakarta,1603
gusdur,gus dur,1604
awoakawoak,awok-awok,1607
kaz,kas,1608
tbl,tabel,1609
duitan,duit,1612
ngmong,ngomong,1614
deket2,dekat-dekat,1615
org2nya,orang-orangnya,1617
uyuono,uyono,1618
jadilonte,jadi lonthe,1620
repeat,ulang,1652
pmrintah,perintah,1653
kakdoanya,kakak doanya,1655
joos,jos,1656
dkompilasi,dekompilasi,1657
et6uz,etuz,1659
sey,se,1660
deg2an,deg-degan,1661
iiiih,ih,1662
adine,adik,1663
menajubkan,menakjubkan,1664
pripun,bagaimana,1666
cuyyy,cuy,1667
gmpangan,gempangan,1668
bedaa,beda,1669
ngerasa,merasakan,1672
tizin,izin,1674
ngeliattt,melihat,1676
alazim2,alazim,1677
propivinsi,provinsi,1679
klakuannya,kelakuannya,1680
nurun,turun,1683
ternyaya,ternyata,1684
brhsil,berhasil,1685
rme2,rame-rame,1686
cawe2,cawe-cawe,1689
anehh,aneh,1690
tkmau,tak mau,1692
nilaii,nilai,1693
nyebut,menyebut,1694
5jarinya,lima jarinya,1695
keluhin,keluhkan,1700
sebelah2,sebelah-sebelah,1701
maksutnya,maksudnya,1703
lovve,love,1705
hubunganya,hubungannya,1706
bgs2,bagus-bagus,1707
bukansolusi,bukan solusi,1708
cocotee,cocot,1711
kyknyaaa,kayaknya,1712
valiidd,valid,1713
memd,mend,1714
discipline,disiplin,1715
padheeer,padahal,1717
ads,iklan,1718
bloeong,belong,1719
giss,gis,1721
padhal,padahal,1723
nr,nanti,1724
sfx,efek suara,1725
orangtua,orang tua,1726
kelimat,kalimat,1727
suange,sayang,1728
dihina2,dihina-hina,1729
ngeriii,ngerii,1730
stongger,stonger,1731
pernar,pernah,1732
nete,net,1733
diparodiin,diparodikan,1735
membernya,anggotanya,1737
cklat,ceklat,1738
nggajadi,nggak jadi,1739
rek2,rekreasi,1773
ngemix,mencampur,1774
ngutang,berutang,1777
husnulhotimah,husnul khatimah,1778
kirakira,kira-kira,1779
ditemeninnya,ditemani,1780
hidupppp,hidup,1782
sedihhh,sedih,1783
meneee,mene,1785
skalian,sekalian,1787
dosaaa,dosa,1790
mngkilat,mengkilat,1795
komenannya,komentar,1797
seyum,senyum,1799
okey,oke,1800
kroni2nya,kroninya,1861
3an,an,1862
bocilnya,bocahnya,1863
tba,tiba,1865
gapain,ngapain,1866
segesit,secepat,1867
jugun,juga,1868
hahahah,hahaha,1869
deep,dalam,1871
masalalu,masa lalu,1872
sajaa,saja,1873
smpah,sampah,1876
acheh,aceh,1878
pembaik,perbaikan,1882
beliauu,beliau,1883
tido,tidur,1884
obang,abang,1885
jancooook,jancok,1886
tetanggaan,tetangga,1887
dwipa,pulau,1888
orang2,orang,1889
irresistible,tidak dapat ditolak,1890
kakany,kakak,1891
dihiburr,dihibur,1892
lta,lita,1893
nyelesain,menyelesaikan,1895
jangung,jagung,1897
aminnnnn,amin,1898
iss,is,1901
1h,satu hari,1903
ajirrrr,anjing,1904
eea,iya,1905
colu,colok,1906
ealahh,alah,1907
berulahh,berulah,1908
takdirin,takdir,1910
jaim,jaga image,1911
kbanyang,kebayang,1912
koentji,kunci,1913
pmndgnya,pemindahnya,1914
assiiik,asik,1915
jeung,dan,1916
aph,apa,1919
kpopopers,kpopers,1921
mushroom,jamur,1922
sebenernya,sebenarnya,1924
caer,care,1925
boykot,boikot,1926
fllws,followers,1928
redflag,bendera merah,1931
viralin,viralkan,1932
pakeyan,pakai,1933
semogah,semoga,1934
hannn,hanya,1935
part10,part 10,1936
mengcolab,berkolaborasi,1937
k9ndom,kondom,1939
ditempat,di tempat,1940
taukk,tau,1944
gilaaaa,gila,1945
statementnya,pernyataannya,1946
bkan,bukan,1947
menyushkan,menyusahkan,1948
dur22,dur 22,1949
itemm,item,1950
nantik,nanti,2043
patatap2,patatap,2047
ewwwe,eww,2048
xwonnn,xwon,2050
jirttt,jirit,2052
senengya,senangnya,2054
cocook,cocok,2055
selsai,selesai,2056
cooll,cool,2058
celens,celan,2060
soqlnya,soalnya,2063
mguntungkan,menguntungkan,2071
org,orang,2072
jesicca,jessica,2073
peofesi,profesi,2075
dipukulin,dipukul,2077
ygau,yang,2080
hndal,handal,2081
loveee,love,2082
bengke,bengkel,2083
cape2,cape-cape,2085
gogh,gog,2087
frent,front,2088
veyru,very,2089
tm,tim,2091
karokean,karaoke,2092
lurdd,lurd,2096
sendekno,sendok,2097
mmek,meme,2099
kemane,ke mana,2101
boxi,boks,2102
siapaaaa,siapa,2104
capek2,capek-capek,2105
watched,menonton,2106
gelisaaaa,gelisah,2107
perempua,perempuan,2108
freshman,mahasiswa baru,2109
push,dorong,2110
mugkin,mungkin,2111
service,layanan,2112
masaa,masa,2114
heeeeey,hei,2116
bym,bye,2117
milyaaarrr,miliar,2120
rekomended,direkomendasikan,2125
simple,sederhana,2126
mommy,ibu,2127
titok,TikTok,2129
ragiee,ragie,2130
maklo,makhluk,2134
salutin,salut,2135
center,pusat,2136
ew3,ew,2137
tpis,tipis,2138
ywdh,yaudah,2140
ngebantai,membantai,2141
collap,kolaps,2143
wife,istri,2144
safeeeeeaaa,aman,2146
baik153,baik,2147
karasa,terasa,2148
jadikn,jadikan,2149
ayu18,ayu,2150
k11,k,2151
bilang2,bilang-bilang,2152
property,properti,2153
ndir,sendiri,2155
pcahan,pecahan,2156
0,nol,2157
ngilerr,ngiler,2158
ramadoni,ramadhan,2160
bob2,bobo,2161
ributin,ribut,2162
sempurn,sempurna,2163
alakatirtir,alat keterampilan,2164
susah2,susah,2166
maca,baca,2168
disna,di sana,2169
raumummm,raum,2170
shipperrrrr,shipper,2171
nyuguhin,menyuguhkan,2173
cantikya,cantiknya,2174
iiihh,ih,2175
jenengku,nama saya,2176
dibikin,dibuat,2177
rukusss,rukun,2178
nyaa,nya,2179
bacotnya,omongannya,2180
bnagkeee,banget,2181
kasihann,kasihan,2182
terimo,terima,2184
signal,sinyal,2186
karek,kare,2187
eximerr,ekspor,2188
pkai,pakai,2189
milikk,milik,2190
fitnah2,fitnah,2193
kohhh,koh,2194
maati,mati,2197
bell,bel,2198
ngolak,mengolak,2199
ttupi,tutup,2202
mat0,mati,2205
pakaiin,pakai,2206
kelasssss,kelas,2207
matab,mata,2208
wkwkkwk,wkwkwk,2209
akuu,aku,2212
sbaiknya,sebaiknya,2213
pejabat2nya,pejabatnya,2214
ishakan,isahkan,2215
fens,fans,2216
ksong,kosong,2217
diett,diet,2219
nailart,nail art,2220
susbscribe,subscribe,2221
sedapp,sedap,2222
sejiji,seji,2223
musk,mask,2224
mostly,kebanyakan,2225
content,konten,2226
ajalah,aja,2227
vidionya,videonya,2228
drajat,derajat,2229
cuawww,cuw,2230
tcoyyy,tco,2231
ingetnya,ingatnya,2232
kencengin,kencangkan,2233
diosa,dewa,2234
uenakkk,enak,2235
motifator,motivator,2236
4m,empat,2237
yahhh,ya,2238
minang,minangkabau,2239
omru,om,2240
krunya,kerunya,2241
kloh,kalau,2242
aloh,halo,2243
tdur,tidur,2244
ksrin,kasrin,2247
ttap,tetap,2248
siii,si,2249
songkolooo,songko,2250
helloooo,halo,2251
dengr,dengar,2252
filipinas,Filipina,2253
wikwikqik,wik-wik,2254
alasn,alasan,2255
aaauu,aa,2256
yoi,ya,2257
terpuruuk,terpuruk,2258
sdmnya,SDM-nya,2259
togean,toge,2260
gogel,Google,2261
pisaaaaah,pisah,2262
psl,pasal,2263
orang2nya,orang-orangnya,2265
avvv,a,2266
cw,cewek,2267
trmsk,termasuk,2268
bljr,belajar,2269
adembangett,adem banget,2270
56c,56C,2271
lebayy,lebay,2272
johnson,Johnson,2273
2jta,2 juta,2275
jar4d,jarak,2278
jahadmu,jahatmu,2280
yarobbi,Ya Rabb,2281
gaskan,gas,2282
cuangkeme,cuan kamu,2283
kat2,kata-kata,2284
teenagers,remaja,2285
ntap,mantap,2286
yar,ya,2288
ngeharap,mengharapkan,2291
inisih,ini sih,2292
ayooo,ayo,2293
goodloking,good looking,2294
nickname,nama panggilan,2295
1jt,1 juta,2296
pw,password,2297
rajiun,rajin,2298
owalah,oh tidak,2299
mlebu,masuk,2300
pentilny,pentilnya,2301
dw,dulu,2302
wassalamu,wassalam,2304
nyembah2,menyembah,2306
tebukak,terbuka,2307
mhasiwa,mahasiswa,2308
ajarkita,ajar kita,2310
kmpurnaan,kesempurnaan,2315
keu,keuangan,2316
ajeeee,aja,2317
boe,bo,2319
prna,pernah,2320
disurabaya,di Surabaya,2321
sasshs,sash,2322
sok2,sok-sok,2323
dongkk,dong,2324
bagusw,bagus,2326
1mnit,1 menit,2327
drak,drama,2328
malunyo,malunya,2332
hahaah,haha,2333
boobs,payudara,2334
kidding,bercanda,2335
keterima,terima,2339
skuyy,skuy,2431
penganguran,pengangguran,2432
bgg,banget,2433
ancen,anjing,2434
colap,kolaps,2435
cuuuuk,cuk,2436
extrem,ekstrem,2438
goodjob,kerja bagus,2440
tengtop,tank top,2441
jamelun,jam tangan,2443
kegila,kegilaan,2444
jefri,Jefri,2446
yekaann,ya kan,2447
sweetest,termanis,2448
ngebela,membela,2449
dimanaki,dimarahi,2450
noire,noir,2451
wajab,wajib,2452
jufri,Jufri,2453
fara,Fara,2454
nemuin,menemukan,2455
mapp,map,2456
hanyingggggg,hanying,2457
ngejelekin,menjelekkan,2458
ijeh,iya,2459
suaranye,suara nya,2461
piliin,pilih,2462
dangerous,berbahaya,2463
dijauhin,dijauhi,2464
insec,insektisida,2465
gelapp,gelap,2466
makyusz,maksyus,2467
jagoo,jaga,2468
ditanggepin,ditanggapi,2469
oendeta,dendam,2470
rhma,rema,2471
yeagar,yaagar,2472
50m,50 meter,2473
maann,man,2475
kabulusan,kebulusan,2476
gimnaa,gimana,2478
sklii,sekali,2479
bantukami,bantu kami,2480
ngamok,mengamuk,2481
specific,spesifik,2483
lawakk,lawak,2484
haaaay,hai,2485
geleng2,geleng-geleng,2486
kapan2,kapan-kapan,2487
apruk2an,apruk-aprukan,2489
airweight,berat air,2490
antosan,antrean,2492
febrian,Febrian,2493
dongen,dongeng,2495
banol,bodoh,2496
dilanjut,dilanjutkan,2497
chelengge,challenge,2498
naek,naik,2499
octaviawan,Octaviawan,2502
sbnarnya,sebenarnya,2504
usa,USA,2505
teroeis,teroris,2506
merendahkn,merendahkan,2508
101rb,101 ribu,2509
dielus2,dielus-elus,2510
aduh2,aduh-aduh,2511
berfua,berdua,2512
easiest,termudah,2513
sussshhh,diam,2514
astagfiruloh,astaghfirullah,2517
majlan,Majlan,2518
famous,terkenal,2520
elancong,elangcong,2551
3rb,3000,2552
nambangnya,nambang,2554
kkeek,kek,2556
hrti,arti,2557
s3xual,seksual,2561
gimick,gimik,2564
akehhh,aah,2568
kendorrrrrrrrrrrrttttttttrrrrrrrrrrr,kendor,2569
makasihhh,makasih,2570
ur,kamu,2571
bahahaha,bahaha,2572
saam,sama,2573
nikenelhyh,nikenel,2574
amiiiiiiiin,amin,2584
longorrrr,longgar,2586
sweger,swagger,2588
duitnyaa,duitnya,2589
ngelola,mengelola,2590
nanty,nanti,2591
ngeneki,mengeneki,2592
johannes,Johannes,2593
liet,lihat,2596
mesin2,mesin-mesin,2599
kliru,keliru,2600
amin2,amin,2602
gabernur,gubernur,2604
memproleh,memperoleh,2606
wouw,wow,2607
anjiiiiiiiiiii,anjing,2608
terasaaa,terasa,2609
langsungg,langsung,2613
fantastic,fantastis,2614
bejilbab,berjilbab,2615
susnya,susunya,2618
part2,part 2,2619
diampuuuut,diampuut,2621
nasih,nasihat,2623
ngeriiiiiii,ngeriii,2628
lokasii,lokasi,2629
kagett,kaget,2631
mamfaat,manfaat,2634
anjrr,anjing,2641
dilamot,dilamun,2642
jier,jijik,2645
trianing,training,2646
sesadd,sesat,2647
pertau,pertama,2649
sumbarr,sumber,2650
sumvah,sumpah,2651
kase,kasih,2652
sayangkucanti,sayangku cantik,2653
kegunung,ke gunung,2654
mikirrr,mikir,2655
hoteli,hotel,2656
lainke,lainnya,2657
aprtmn,apartemen,2658
kisana,kisah,2661
alergic,alergi,2662
ryan,Ryan,2665
jugaaa,juga,2667
gapercaya,gak percaya,2668
utiiil,util,2669
nangtaingn,nantang,2670
syantick,santik,2671
m3sum,mesum,2672
blokkk,blok,2676
paki,pakai,2677
creatures,makhluk,2678
muji2,muji-muji,2679
ganteng2o,ganteng-ganteng,2681
grebekk,grebek,2682
sarungan,sarung,2683
seruu,seru,2684
jawatdk,jawab tidak,2685
kenyal2,kenyal-kenyal,2686
ultramennya,Ultraman,2688
urusin,urus,2691
singapur,Singapura,2692
supply,suplai,2693
doganti,diganti,2695
lumba,lumba-lumba,2696
mulmul,mul-mul,2697
hapusen,hapus,2698
issue,isu,2699
bhagia,bahagia,2700
icelamp,ice lamp,2701
pura2,pura-pura,2702
ditayang,ditayangkan,2709
2,dua,2713
them,mereka,2714
kmi,kami,2715
untuku,untukmu,2716
aaelahh,ah,2718
loc,lokasi,2719
diinjak,di injak,2720
views,tampilan,2721
ttpi,tetapi,2723
bise,bisa,2727
pelakorrrr,pelakor,2729
hugen,huge,2731
ampunnnnnn,ampun,2732
cnets,cenet,2733
trainer,pelatih,2735
putie,putih,2736
mackupnya,makeupnya,2737
virzha,Virzha,2738
itunah,itu,2739
bk3p,bokep,2741
suskreb,subscribe,2742
kebali,ke bali,2744
masuh,masuk,2745
bjo,baju,2747
lirik2,lirik,2750
nnyak,nanya,2751
ehmmmm,ehm,2752
dawgg,karib,2753
literally,secara harfiah,2755
damnn,damn,2756
nyooooo,nyo,2757
memeng,memang,2759
1baskom,satu baskom,2761
layuuu,layu,2762
khemarukk,kamar,2763
our,kami,2764
woeee,woi,2765
bukansii,bukan,2766
qna,tanya jawab,2767
bgusnya,bagusnya,2768
diprovinsi,di provinsi,2769
otdd,pakaian hari ini,2772
jailani,Jailani,2773
hedon,hedonis,2774
bodyy,bodi,2775
bertele,bertele-tele,2776
mengkomsumsi,mengonsumsi,2777
mafianya,mafia,2778
kaw,kamu,2779
makanyaa,makanya,2780
maapin,maafkan,2781
steatment,pernyataan,2786
hhyper,hyper,2787
pompaa,pompa,2788
blaen,belum,2789
keliatan,kelihatan,2790
kuca,kucing,2791
ngerendang,ngerendeng,2792
bikinian,bikinan,2793
cuok,cuek,2794
interview,wawancara,2795
udh,udah,2796
humble,rendah hati,2797
heyek,heboh,2798
woyo,woy,2800
nton,nonton,2801
kesesuatu,ke sesuatu,2802
javar,java,2803
qel,kel,2804
tego,tega,2805
swargo,surga,2807
penetration,penetrasi,2808
sasuki,sasaki,2809
jumscaree,jump scare,2810
sampai2,sampai-sampai,2811
nasgor,nasi goreng,2812
ngonsep,mengonsep,2813
hitng,hitung,2815
hamput,hampir,2816
terangkanlaaaaah,terangkanlah,2823
moyung,moyong,2824
conclave,konferensi,2825
booossssss,bos,2827
mexico,Meksiko,2828
adoh,aduh,2830
keneeee,kena,2832
serfer,peselancar,2833
dull,patah,2834
pulau2,pulau-pulau,2835
ccok,cocok,2836
kentuni,bersetubuh,2837
300rb,300 ribu,2839
bezakan,bedakan,2840
us,kami,2842
seolh,seolah,2843
klok,kalau,2844
ngomongya,ngomongnya,2845
perfeita,sempurna,2846
ndhbis,ndak habis,2848
cemua,semua,2849
ceplongno,plongo,2851
wkwkwkkw3,hahaha,2852
whahahahah,hahaha,2854
ngew3,ngewe,2855
dirumahmu,di rumahmu,2856
katessssssnya,katesnya,2857
soimah,Soimah,2858
ank,anak,2860
nhan,nahan,2861
mkirnya,mikirnya,2862
havefun,have fun,2865
nikag,nikah,2866
gniee,gini,2867
dorung,dorong,2868
pelukis2,pelukis,2869
kelazzz,kelaz,2878
tidaaaak,tidak,2880
kabare,kabarnya,2882
diemm,diem,2886
agusan,agus,2890
semngt,semangat,2893
awkmu,awakmu,2895
sekelingking,sekeliling,2896
ntas,nanti,2899
susunyh,susu nya,2900
alafatihah,al-fatihah,2901
berapasi,berapa sih,2905
bahya,bahaya,2906
takuuut,takut,2907
pendosaa,pendosa,2911
taukan,tahu kan,2912
sensian,sensitif,2913
ugalan,ugal,2914
cilo,cilok,2915
adaa,ada,2917
keminfo,kementerian informasi,2918
youtube,YouTube,2919
jahattt,jahat,2920
meggang,megang,2923
gorang,goreng,2924
nyumging,nungging,2926
shidangs,sidang,2928
pulll,pull,2929
disisi,di sisi,2930
perutny,perutnya,2931
waitt,wait,2936
comennya,komennya,2937
apakh,apa,2941
kmgkn,kemungkinan,2944
ngerinyo,ngerinya,2946
medhear,mendengar,2947
ngmongnya,ngomongnya,2948
kagey,kagak,2949
berekpetasi,berharap,2953
sichh,sih,2954
apain2,apain-apain,2955
nangung,nanggung,2956
denial,penyangkalan,2957
tteh,teteh,2958
innalilahi,innalillahi,2959
amntaapppp,mantap,2960
mencri,mencari,2961
ngakk,ngak,2962
kelaiatan,kelihatan,2964
gemmesin,gemesin,2965
jackson,Jackson,2966
mantaaappp,mantap,2967
saefaa,safaa,2968
lupakai,gunakan,2971
merikaa,mereka,2976
ipaa,ipa,2978
penyayeng,penyayang,2979
eih,eh,2980
